"";"X";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"1";1;0;0;0;0;5;5;5;5;5
"2";2;0;0;0;0;0;0;0;0;2
"3";3;0;0;0;0;5;5;5;5;5
"4";4;0;0;0;0;0;0;4;4;4
"5";5;0;0;0;0;0;0;4;4;4
"6";6;0;0;0;0;0;0;4;4;4
"7";7;0;0;0;0;5;5;5;5;5
"8";8;0;0;0;0;0;0;4;4;4
"9";9;0;0;0;0;5;5;5;5;5
"10";10;0;0;0;0;5;5;5;5;5
"11";11;0;0;0;0;5;5;5;5;5
"12";12;0;0;0;0;5;5;5;5;5
"13";13;0;0;0;0;0;0;4;4;4
"14";14;0;0;0;0;5;5;5;5;5
"15";15;0;0;0;0;0;0;3;3;3
"16";16;0;0;0;0;5;5;5;5;5
"17";17;0;0;0;0;5;5;5;5;5
"18";18;0;0;0;0;5;5;5;5;5
"19";19;0;0;0;0;5;5;5;5;5
"20";20;0;0;0;0;5;5;5;5;5
"21";21;0;0;0;0;5;5;5;5;5
"22";22;0;0;0;0;0;0;4;4;4
"23";23;0;0;0;0;0;0;4;4;4
"24";24;0;0;0;0;0;0;4;4;4
"25";25;0;0;0;0;0;0;0;0;0
"26";26;0;0;0;0;0;0;0;0;0
"27";27;0;0;0;0;0;0;0;0;0
"28";28;0;0;0;0;0;0;0;0;0
"29";29;0;0;0;0;0;0;0;0;0
"30";30;0;0;0;0;0;0;4;4;4
"31";31;0;0;0;0;0;0;0;0;0
"32";32;0;0;0;0;0;0;4;4;4
"33";33;0;0;0;0;0;0;4;4;4
"34";34;0;0;0;0;0;0;0;0;0
"35";35;0;0;0;0;0;0;4;4;4
"36";36;0;0;0;0;0;0;0;0;0
"37";37;0;0;0;0;0;0;0;0;0
"38";38;0;0;0;0;0;0;4;4;4
"39";39;0;0;0;0;0;0;0;0;0
"40";40;0;0;0;0;0;0;4;4;4
"41";41;0;0;0;0;0;0;4;4;4
"42";42;0;0;0;0;0;0;0;0;0
"43";43;0;0;0;0;0;0;4;4;4
"44";44;0;0;0;0;0;0;0;0;0
"45";45;0;0;0;0;0;0;0;0;0
"46";46;0;0;0;0;0;0;3;3;3
"47";47;0;0;0;0;0;0;3;3;3
"48";48;0;0;0;0;0;0;0;0;2
"49";49;0;0;0;0;0;0;3;3;3
"50";50;0;0;0;0;5;5;5;5;5
"51";51;0;0;0;0;0;0;3;3;3
"52";52;0;0;0;0;0;0;3;3;3
"53";53;0;0;0;0;0;0;3;3;3
"54";54;0;0;0;0;0;0;3;3;3
"55";55;0;0;0;0;0;0;3;3;3
"56";56;0;0;0;0;0;0;4;4;4
"57";57;0;0;0;0;0;0;0;0;0
"58";58;0;0;0;0;0;0;3;3;3
"59";59;0;0;0;0;0;0;0;0;0
"60";60;0;0;0;0;0;0;3;3;3
"61";61;0;0;0;0;0;0;3;3;3
"62";62;0;0;0;0;0;0;3;3;3
"63";63;0;0;0;0;5;5;5;5;5
"64";64;0;0;0;0;5;5;5;5;5
"65";65;0;0;0;0;0;0;0;0;2
