"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"mass";"chi.distance";"inertie"
"bolsonaro";-0,358141629568612;0,0604778705873664;0,974798002976723;0,151315999156366;-0,340693390040583;0,0575314597682037;0,927306989246012;0,143944061409605;0,165030654258029;0,00356770168423881;0,813217832464662;0,0181838115930865;0,00133143114253836;3,79666328905426e-05;0,00986366609046771;0,000237672426488404;0,0103802807618797;0,472413019932053;0,0023166094161147
"governo";-0,363538509716739;-0,412940122485365;0,553334906086342;0,409320097543831;-0,412578914560377;-0,468644677138028;0,627978353983331;0,464536320193331;0,232468707508932;0,227393664472385;0,358230378934787;0,18190724908388;0,0013326644665657;0,00171946815712179;0,00308742281018373;0,00168945298653882;0,0100837013115402;0,404033649050438;0,00164609556471673
"presidente";-0,447100489287825;-0,402369094875477;1,05069225812917;0,237837169900852;-0,36236988702505;-0,326115598049668;0,851574185219145;0,19276433475752;0,183081735746572;0,11241506166939;0,672524974177058;0,0319782284069847;0,00152167118491552;0,00123242289745009;0,00840352682787133;0,000430595992165994;0,00761220589204508;0,559927758673216;0,00238657190171619
"país";0,036792912324162;-0,103610615275526;-0,475729724299614;0,089500333099273;0,0741187332372775;-0,208721926834636;-0,958349918531758;0,180296989137122;0,00820566490970865;0,0493326553572578;0,912491112502965;0,0299705672300896;1,07062682182308e-05;8,49020728750258e-05;0,00178990657548688;6,3351819349219e-05;0,0079087853423845;0,217648982109328;0,000374647698516259
"brasil";-0,275360996751045;-0,17035272899075;0,247827103226329;0,102254293313716;-0,655031370390006;-0,405236699594656;0,58953348136263;0,243243490065158;0,52244971055705;0,151592729675654;0,281487986854645;0,0444695729126525;0,000494730387836366;0,000189348525353259;0,000400738748847412;6,82223759050717e-05;0,00652474790746721;0,204140673106323;0,000271908523509786
"ano";-0,0691022496443055;-0,367895367955958;-0,785412787310003;-0,345984003384738;-0,0738017412756115;-0,392915120739762;-0,838826979179055;-0,369513612577517;0,0080716889307439;0,173447970994703;0,693583256972264;0,124897083102289;3,1785883575845e-05;0,000900945572932737;0,00410625439224128;0,000796823172109087;0,00665656099650695;0,412153831700351;0,0011307552151528
"dizer";0,0703794412290742;0,0492224215890186;0,322371284081575;-0,136789328776439;0,195189433333071;0,136512828312611;0,894060355749785;-0,379369757753269;0,0566316291924218;0,0210007071275984;0,790319588166542;0,132048075513438;3,18291313782626e-05;1,55689423147032e-05;0,000667799141108503;0,000120236851350629;0,0064258880906874;0,158476784386808;0,000161385480194051
"político";0,490626204253627;0,669061369653214;-0,113331364182074;-0,257240761321703;0,560076306931046;0,763769684082929;-0,129373872329373;-0,293654220553436;0,382406552498547;0,539133471807228;0,0135720890061149;0,0648878866881116;0,00155473400681682;0,00289125587579906;8,29573462414984e-05;0,000427399677714769;0,00645884136294734;0,425145357741935;0,00116742637385703
"política";0,694741985294303;0,379458476384041;0,0102304377889574;-0,520908273588558;0,733094442391549;0,40040605871497;0,0107951977065847;-0,549664434346487;0,635601690664033;0,143749720910381;9,16745974626927e-05;0,220556913828124;0,00289478974348454;0,000863571799398439;6,27709023870638e-07;0,00162739300625217;0,00599749555130824;0,466960760197974;0,00130776800846141
"porcento";-2,0881640338217;-0,0952591036109336;-1,50073012124031;0,0109349802434723;-0,811476839379405;-0,0370184310563199;-0,583195436671111;0,00424941865817365;0,743410706191237;0,0011728787277811;0,255403831744595;1,25833363853455e-05;0,0142253501015787;2,96037495964905e-05;0,00734748892054957;3,90094427588075e-07;0,00326237395373361;1,29777549516727;0,00549455949218379
"direito";1,04631134303453;0,86786672373441;-0,0711297937735869;0,80155140899476;0,662341217765481;0,549381316071062;-0,0450269363330896;0,507402065235671;0,529969087630887;0,276423705780364;0,00162912493782097;0,191978081650929;0,00573611088194395;0,00394640583194867;2,65093311277073e-05;0,00336634354249575;0,00523957028932973;0,770167216321685;0,00310789062922212
"novo";0,175562781726435;-0,279271555539496;-0,428979918561691;-0,448062785138706;0,249887971824533;-0,397502260534864;-0,61059024440539;-0,637751917162199;0,0916583504787289;0,175833280351974;0,364001921552874;0,368506447616424;0,000134071782878572;0,000339254709972166;0,000800472474456395;0,000873273388396019;0,00434983193831147;0,310739024963264;0,00042001429828761
"trump";1,46440798471472;-2,01177722193298;-0,265135856788899;0,538744581871528;0,572091938876394;-0,785929565733154;-0,103579117267353;0,210468281803364;0,39430059383923;0,564161659224862;0,00859731435241875;0,0329404325834914;0,0103881941480705;0,0196053976086203;0,000340527987728595;0,00140598831809469;0,0048441310222105;1,24967688393062;0,00756504218651195
"mesmo";-0,228764118237817;-0,054715189673693;0,149118320791108;-0,233069026351378;-0,629928838716755;-0,150664694082338;0,410614791213383;-0,641782908269475;0,508468233521442;0,0220518165758584;0,143705252911597;0,325774696991105;0,000256957102984767;1,46994346923219e-05;0,000109180938698293;0,000266718990496689;0,00491003756673038;0,171911669201282;0,000145109394290123
"populismo";0,0386163641775131;0,478541950928506;0,0924090203914993;-0,610268743285918;0,0493840842067364;0,611977758767635;0,118176191406783;-0,78043502150108;0,00363124743254298;0,422759768318206;0,013831345615718;0,559777638633535;6,87969753907086e-06;0,00105649297540976;3,93962890318432e-05;0,00171818069809689;0,00461345811639096;0,34339409598162;0,000544016698138299
