"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"5";"***";"";""
"**";"classe";"1";"**";"";""
"****";"365";"2361";"15.46";"****";""
" 2";"147";"1.36";"-23.84";"trump";"1.045498e-06"
" 4";"159";"2.52";"-21.85";"direito";"2.941341e-06"
" 2";"108";"1.85";"-16.03";"democracia";"6.218525e-05"
" 1";" 92";"1.09";"-15.13";"pessoa";"1.003200e-04"
" 0";" 75";"0.00";"-14.16";"americano";"1.674660e-04"
"13";"202";"6.44";"-13.76";"ano";"2.073476e-04"
" 6";"126";"4.76";"-11.65";"social";"6.403781e-04"
" 5";"113";"4.42";"-11.06";"mundo";"8.834554e-04"
" 0";" 58";"0.00";"-10.87";"liberdade";"9.755922e-04"
" 0";" 50";"0.00";" -9.34";"força";"2.240701e-03"
"21";"240";"8.75";" -9.20";"país";"2.417234e-03"
" 1";" 61";"1.64";" -9.15";"republicano";"2.485905e-03"
" 5";"101";"4.95";" -8.92";"partido";"2.826676e-03"
" 2";" 68";"2.94";" -8.40";"eua";"3.761961e-03"
" 2";" 67";"2.99";" -8.21";"biden";"4.165258e-03"
" 0";" 44";"0.00";" -8.20";"auxílio";"4.191607e-03"
" 3";" 76";"3.95";" -7.96";"democrático";"4.774294e-03"
" 1";" 53";"1.89";" -7.64";"unido";"5.702252e-03"
"17";"196";"8.67";" -7.53";"político";"6.063559e-03"
" 0";" 36";"0.00";" -6.69";"constituição";"9.722211e-03"
" 1";" 47";"2.13";" -6.52";"esquerdo";"1.065735e-02"
" 0";" 34";"0.00";" -6.31";"segurança";"1.201755e-02"
" 0";" 34";"0.00";" -6.31";"acordo";"1.201755e-02"
" 0";" 33";"0.00";" -6.12";"ponto";"1.336524e-02"
" 0";" 32";"0.00";" -5.93";"ataque";"1.486747e-02"
" 0";" 32";"0.00";" -5.93";"expressão";"1.486747e-02"
" 5";" 83";"6.02";" -5.86";"líder";"1.549034e-02"
" 1";" 43";"2.33";" -5.78";"começar";"1.620294e-02"
" 0";" 31";"0.00";" -5.74";"europa";"1.654262e-02"
" 0";" 31";"0.00";" -5.74";"democrata";"1.654262e-02"
"17";"182";"9.34";" -5.65";"política";"1.746239e-02"
"10";"125";"8.00";" -5.62";"pandemia";"1.776165e-02"
" 0";" 30";"0.00";" -5.56";"tratar";"1.841138e-02"
" 3";" 62";"4.84";" -5.50";"sociedade";"1.906576e-02"
" 1";" 41";"2.44";" -5.41";"diferente";"1.999454e-02"
" 0";" 29";"0.00";" -5.37";"viver";"2.049709e-02"
" 0";" 29";"0.00";" -5.37";"estratégia";"2.049709e-02"
" 0";" 28";"0.00";" -5.18";"professor";"2.282608e-02"
" 5";" 78";"6.41";" -5.05";"último";"2.456627e-02"
" 1";" 39";"2.56";" -5.05";"covid_19";"2.468905e-02"
" 1";" 39";"2.56";" -5.05";"mês";"2.468905e-02"
" 1";" 39";"2.56";" -5.05";"guerra";"2.468905e-02"
" 0";" 27";"0.00";" -4.99";"morte";"2.542813e-02"
" 3";" 59";"5.08";" -4.98";"importante";"2.558902e-02"
" 3";" 58";"5.17";" -4.81";"passado";"2.822008e-02"
" 0";" 26";"0.00";" -4.81";"tema";"2.833695e-02"
" 0";" 26";"0.00";" -4.81";"civil";"2.833695e-02"
" 0";" 26";"0.00";" -4.81";"sentido";"2.833695e-02"
" 2";" 48";"4.17";" -4.78";"principal";"2.877703e-02"
" 1";" 37";"2.70";" -4.68";"violência";"3.050788e-02"
" 1";" 37";"2.70";" -4.68";"população";"3.050788e-02"
" 0";" 25";"0.00";" -4.62";"termo";"3.159075e-02"
" 0";" 25";"0.00";" -4.62";"protesto";"3.159075e-02"
" 0";" 25";"0.00";" -4.62";"maneira";"3.159075e-02"
" 0";" 25";"0.00";" -4.62";"presidencial";"3.159075e-02"
" 2";" 47";"4.26";" -4.61";"resultado";"3.185843e-02"
" 2";" 47";"4.26";" -4.61";"aumento";"3.185843e-02"
" 1";" 36";"2.78";" -4.50";"internacional";"3.392330e-02"
" 1";" 36";"2.78";" -4.50";"campanha";"3.392330e-02"
" 2";" 46";"4.35";" -4.43";"manter";"3.527018e-02"
" 0";" 24";"0.00";" -4.43";"moderno";"3.523298e-02"
" 0";" 24";"0.00";" -4.43";"região";"3.523298e-02"
" 0";" 24";"0.00";" -4.43";"organização";"3.523298e-02"
"12";"132";"9.09";" -4.34";"novo";"3.724826e-02"
" 1";" 35";"2.86";" -4.32";"criar";"3.772944e-02"
" 1";" 35";"2.86";" -4.32";"usar";"3.772944e-02"
" 0";" 23";"0.00";" -4.25";"nível";"3.931308e-02"
" 0";" 23";"0.00";" -4.25";"crescer";"3.931308e-02"
" 0";" 23";"0.00";" -4.25";"extremo";"3.931308e-02"
" 0";" 23";"0.00";" -4.25";"américa";"3.931308e-02"
" 7";" 90";"7.78";" -4.22";"populista";"3.984262e-02"
" 3";" 54";"5.56";" -4.15";"tornar";"4.169247e-02"
" 1";" 34";"2.94";" -4.14";"existir";"4.197259e-02"
" 1";" 34";"2.94";" -4.14";"donald";"4.197259e-02"
" 4";" 63";"6.35";" -4.11";"instituição";"4.261775e-02"
" 0";" 22";"0.00";" -4.06";"uso";"4.388747e-02"
" 0";" 22";"0.00";" -4.06";"itália";"4.388747e-02"
" 0";" 21";"0.00";" -3.87";"depender";"4.902072e-02"
" 0";" 21";"0.00";" -3.87";"fossar";"4.902072e-02"
" 0";" 21";"0.00";" -3.87";"cidadão";"4.902072e-02"
" 0";" 21";"0.00";" -3.87";"realidade";"4.902072e-02"
" 0";" 21";"0.00";" -3.87";"washington";"4.902072e-02"
" 0";" 21";"0.00";" -3.87";"resposta";"4.902072e-02"
" 0";" 21";"0.00";" -3.87";"liderança";"4.902072e-02"
" 0";" 21";"0.00";" -3.87";"conservador";"4.902072e-02"
" 0";" 21";"0.00";" -3.87";"desafio";"4.902072e-02"
" 3";" 52";"5.77";" -3.82";"crise";"5.063709e-02"
" 2";" 42";"4.76";" -3.74";"alto";"5.299094e-02"
" 0";" 20";"0.00";" -3.69";"polícia";"5.478688e-02"
" 0";" 20";"0.00";" -3.69";"produzir";"5.478688e-02"
" 0";" 20";"0.00";" -3.69";"capacidade";"5.478688e-02"
" 0";" 20";"0.00";" -3.69";"vírus";"5.478688e-02"
" 0";" 20";"0.00";" -3.69";"comercial";"5.478688e-02"
" 0";" 20";"0.00";" -3.69";"derrota";"5.478688e-02"
" 3";" 51";"5.88";" -3.66";"autoritário";"5.579324e-02"
" 5";" 68";"7.35";" -3.52";"chegar";"6.061012e-02"
" 3";" 50";"6.00";" -3.50";"história";"6.146515e-02"
" 0";" 19";"0.00";" -3.50";"humano";"6.127123e-02"
" 0";" 19";"0.00";" -3.50";"neoliberal";"6.127123e-02"
" 4";" 59";"6.78";" -3.49";"acontecer";"6.180526e-02"
" 5";" 67";"7.46";" -3.37";"deixar";"6.622953e-02"
