"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5"
"bolsonaro";76,676;-4,176;1,247;-14,82;-5,732
"governo";34,578;0,274;-0,005;-45,029;3,875
"presidente";72,015;-1,961;-0,641;-29,804;0,507
"país";-9,202;5,995;-0,002;-0,836;1,98
"brasil";6,475;1,034;-0,271;-6,79;0,023
"ano";-13,763;16,166;-13,077;0,164;4,064
"dizer";2,638;-2,276;0;0,076;-0,084
"político";-7,531;-5,268;6,552;18,153;-5,606
"política";-5,649;-15,886;0,389;26,317;-0,136
"porcento";-0,137;179,72;-14,278;-23,051;-16,868
"direito";-21,854;-22,697;73,157;1,94;-0,003
"novo";-4,339;0,551;-5,794;1,94;2,586
"trump";-23,842;-35,33;-4,249;-9,192;240,205
"mesmo";2,659;0,72;-1,907;-0,144;-0,462
"populismo";0,107;-0,251;-0,364;9,93;-8,435
"mundo";-11,057;-4,816;-16,72;63,039;-0,213
"pandemia";-5,62;32,708;-0,007;-0,855;-5,606
"público";-0,068;21,948;2,557;-0,652;-23,287
"social";-11,655;2,224;12,899;3,958;-14,222
"econômico";11,727;1,059;-0,837;-0,036;-9,537
"brasileiro";-0,541;7,025;14,676;-8,474;-3,589
"dar";7,899;0,23;-11,39;1,773;-2,657
"vez";-0,011;0,447;0,171;-0,323;-0,071
"partido";-8,916;-23,003;-0,774;-1,324;89,986
"economia";17,695;48,079;-6,952;-16,992;-13,022
"mercado";230,578;-0,05;-7,154;-31,286;-22,142
"democracia";-16,035;-15,918;50,996;5,111;-1,447
"dever";-2,745;-0,159;0,21;-0,826;6,421
"eleição";-2,725;-23,528;-0,907;-4,608;91,138
"vacina";0,077;0,258;-0,83;0,644;-0,791
"grande";7,903;-3,415;1,048;-0,084;-1,569
"lula";132,079;-13,964;-8,119;-3,332;-4,434
"só";-0,483;0,018;-2,995;6,003;-0,698
"pessoa";-15,131;-8,605;-4,309;66,939;-1,522
"maior";9,879;3,712;-5,88;-1,271;-1,808
"relação";-0,766;-0,8;-0,234;0,105;2,931
"caso";3,817;6,929;-4,997;-2,913;-0,218
"afirmar";0,022;0,401;2,45;-2,97;-0,015
"populista";-4,225;-9,798;0,228;2,782;6,777
"lei";11,67;1,061;4,905;-9,344;-6,124
"líder";-5,86;-15,985;-2,115;6,247;20,167
"parecer";-1,462;-6,723;-1,417;8,42;1,764
"preço";5,469;126,418;-10,34;-29,419;-17,478
"saúde";-1,429;59,134;-6,983;-4,565;-3,145
"nacional";-2,259;1,361;6,793;-8,538;1,746
"querer";2,296;-7,364;-6,922;9,694;0
"último";-5,054;-4,378;-1,607;1,48;14,232
"empresa";62,758;1,69;-3,35;-14,875;-5,748
"ficar";2,868;1,523;-10,34;0,78;-0,983
"americano";-14,165;-5,087;-0,222;-0,309;44,203
"vir";4,593;-1,736;-0,182;3,311;-5,539
"ministro";52,186;1,383;-0,147;-17,33;-6,448
"meio";0,61;0,013;-0,658;2,177;-3,29
"medida";-0,221;27,492;0,066;-14,462;-0,35
"liberal";12,647;-12,328;46,528;-2,913;-13,225
"dia";2,333;0,054;-6,983;-2,573;6,302
"precisar";-0,021;-0,52;-1,234;1,109;0,341
"passar";-1,515;-0,084;-0,028;2,081;-0,015
"forma";1,353;-3,663;-0,591;14,932;-8,649
"deixar";-3,374;-0,109;2,869;2,84;-2,004
"fiscal";0,717;109,956;-6,983;-23,033;-10,913
"democrático";-7,963;-14,216;73,94;-0,143;-0,492
"chegar";-3,521;5,8;-2,477;-2,573;6,302
"eua";-8,395;-6,567;-6,983;-13,945;136,66
"grupo";2,2;-3,165;-0,612;1,369;-0,064
"defender";-1,325;-0,413;14,796;-0,53;-0,639
"paulo";93,45;0,01;-4,041;-7,304;-15,669
"imprensa";-0,378;-13,214;200,224;-13,872;-13,997
"biden";-8,21;-11,965;-8,825;-15,574;170,821
"projeto";32,352;-0,052;-1,57;-2,468;-4,029
"importante";-4,984;-1,354;4,949;0,251;0,443
"próprio";-0,01;-0,052;35,283;-7,304;-2,83
"arma";-0,231;6,78;0,801;-2,633;-1,073
"liberdade";-10,873;-14,388;260,905;-16,065;-6,594
"sociedade";-5,495;-3,903;4,068;24,654;-11,462
"levar";-0,263;1,817;-2,791;0,776;-0,197
"tornar";-4,148;0,264;-0,036;0,471;0,49
"republicano";-9,151;-15,152;-2,791;-4,868;110,754
"passado";-4,815;21,147;-7,327;-2,913;2,993
"instituição";-4,111;-5,501;31,888;3,247;-7,776
"falar";0,389;-3,529;-2,662;7,148;-0,145
"saber";-0,091;-0,001;-7,162;9,062;-0,731
"fato";2,2;-3,165;-0,158;3,046;-1,551
"risco";0,103;23,314;0,1;-8,538;-3,831
"federal";5,927;1,449;-0,037;-5,791;-0,197
"coisa";-2,742;-5,137;-6,668;40,27;-1,834
"problema";-0,018;0,264;-3,187;6,118;-2,878
"contar";13,615;-0,596;-5,392;-1,28;0,545
"atual";5,63;-0,426;8,044;-3,415;-3,251
"acontecer";-3,488;-2,239;-5,549;15,404;0,443
"rcifrão";12,644;41,72;-4,875;-19,603;-6,622
"mostrar";11,036;-0,01;-0,158;-5,208;0,006
"congresso";0,319;8,144;-6,832;-10,556;7,078
"acreditar";21,32;-4,073;-6,997;1,88;-2,151
"principal";-4,781;-0,248;-0,484;0,003;8,976
"petrobras";239,637;-5,137;-8,885;-21,861;-14,066
"momento";1,02;-2,469;3,246;1,643;-5,67
"história";-3,497;-2,928;-2,638;12,741;0,435
"força";-9,341;-4,294;38,916;-6,846;5,939
"exemplo";-1,772;-0,185;0,404;1,222;-0,038
"unido";-7,642;-4,924;-1,805;-2,622;59,071
"achar";5,065;-7,327;-2,372;10,275;-2,952
"eleitoral";0,096;-4,924;1,144;-1,037;4,658
"jair";6,582;-2,746;4,747;-8,17;0,546
"conseguir";-1,27;1,981;-4,875;-0,186;4,077
"crise";-3,82;0,438;-0,238;-0,001;2,408
"vida";-1,153;-0,736;17,132;-0,11;-1,858
"valor";0,055;10,138;0,022;-0,07;-10,041
"processo";-2,117;-0,625;-0,096;8,05;-0,825
"gente";3,122;-1,884;-0,851;5,93;-5,03
"efeito";0,011;13,707;-1,465;-0,579;-3,343
"continuar";0,605;-3,48;-5,36;0,801;4,404
"candidato";16,764;-7,973;-2,96;-11,317;19,751
"autoritário";-3,658;-10,202;32,622;7,996;-10,826
"voto";-0,007;-2,333;-6,542;-1,35;26,107
"voltar";-0,002;1,304;0,074;-1,078;-0,015
"questão";-0,928;-2,333;-2,671;13,46;-0,196
"diferente";-5,412;-7,727;0,021;14,9;0,071
"resultado";-4,606;13,407;0,044;-2,087;-0,038
"reforma";48,385;11,544;-5,36;-15,508;-9,519
"perder";2,851;-4,294;0,198;0,028;-0,003
"militar";-0,576;-0,365;15,395;-14,601;5,282
"esquerdo";-6,522;-7,089;-0,047;11,137;1,611
"difícil";-3,023;-3,68;-1,146;13,367;0,029
"aumento";-4,606;78,669;-2,241;-5,766;-7,622
"segurança";-6,308;-0,074;21,589;-5,926;1,776
"povo";-3,239;-7,236;0,078;14,613;-0,134
"discurso";-0,053;-0,862;0,257;6,012;-4,549
"colocar";-0,413;-1,566;-0,136;-1,803;13,468
"próximo";-0,576;2,894;-5,037;-10,002;20,874
"manter";-4,432;-0,544;1,284;0,801;0,381
"longo";-1,391;10,485;-0,851;-2,299;0,165
"deputado";-2,888;-0,379;0,499;-1,966;9,855
"câmara";-0,813;0,075;-0,013;-3,475;7,724
