bolsonaro;101;48;50;68;48
governo;82;63;42;44;75
presidente;80;37;28;35;51
país;21;61;33;68;57
brasil;43;44;25;45;41
ano;13;61;11;65;52
dizer;38;30;27;62;38
político;17;26;39;87;27
política;17;15;28;87;35
porcento;14;71;1;9;4
direito;4;8;58;57;32
novo;12;29;9;48;34
trump;2;1;12;29;103
mesmo;30;33;15;44;27
populismo;23;25;17;60;15
mundo;5;13;1;73;21
pandemia;10;49;17;34;15
público;18;44;23;34;4
social;6;31;31;49;9
econômico;33;29;14;38;12
brasileiro;13;30;27;18;13
dar;29;25;4;43;17
vez;18;26;18;34;23
partido;5;1;11;26;58
economia;35;53;7;17;9
mercado;70;19;5;6;2
democracia;2;5;40;44;17
dever;11;20;17;30;33
eleição;10;1;11;22;59
vacina;6;8;3;13;5
grande;25;12;17;29;15
lula;47;2;2;16;8
só;13;20;8;42;17
pessoa;1;7;6;64;14
maior;23;23;4;21;12
relação;10;13;10;27;23
caso;18;24;4;17;14
afirmar;13;18;16;18;16
populista;7;6;14;35;28
lei;21;17;16;10;6
líder;5;2;7;36;33
parecer;8;6;7;35;20
preço;19;53;1;2;1
saúde;7;38;2;13;8
nacional;5;15;15;8;16
querer;17;6;3;37;16
último;5;8;7;29;29
empresa;36;19;5;8;7
ficar;17;19;1;27;12
americano;0;7;9;21;38
vir;18;10;9;30;7
ministro;26;13;6;2;3
meio;14;15;8;29;9
medida;10;32;11;8;13
liberal;23;3;31;17;3
dia;15;14;2;15;22
precisar;11;12;7;27;17
passar;6;11;8;24;12
forma;15;8;8;38;5
deixar;5;12;14;27;9
fiscal;13;47;2;3;3
democrático;3;2;36;22;13
chegar;5;21;5;15;22
eua;2;5;2;7;52
grupo;13;6;6;22;11
defender;7;11;20;18;11
paulo;36;12;3;9;0
imprensa;8;1;47;6;1
biden;2;2;1;6;56
projeto;25;11;5;13;6
importante;3;8;14;20;14
próprio;9;11;24;9;7
arma;3;10;5;4;3
liberdade;0;0;50;4;4
sociedade;3;6;14;37;2
levar;8;16;4;22;11
tornar;3;12;7;19;13
republicano;1;0;4;11;45
passado;3;25;1;12;17
instituição;4;5;24;26;4
falar;11;6;4;28;11
saber;8;11;1;28;9
fato;13;6;7;24;8
risco;10;26;9;8;6
federal;8;7;3;2;4
coisa;4;4;1;38;7
problema;8;12;3;25;6
contar;19;9;2;14;14
atual;15;9;15;11;6
acontecer;4;7;2;32;14
rcifrão;15;25;1;0;2
mostrar;18;11;7;10;12
congresso;10;19;1;6;19
acreditar;21;5;1;22;7
principal;2;8;5;15;18
petrobras;49;4;0;1;0
momento;11;6;12;21;4
história;3;5;3;27;12
força;0;4;22;7;17
exemplo;4;8;8;18;9
unido;1;4;4;11;33
achar;13;2;3;25;5
eleitoral;9;4;10;13;17
jair;14;5;12;6;12
conseguir;4;12;1;12;14
crise;3;12;6;16;15
vida;4;6;15;12;5
valor;8;18;7;14;1
processo;3;6;5;21;6
gente;11;5;4;21;3
efeito;8;20;4;13;5
continuar;9;4;1;17;15
candidato;16;1;2;3;20
autoritário;3;1;21;25;1
voto;6;4;0;9;21
voltar;7;12;7;11;9
questão;4;4;2;23;7
diferente;1;1;6;24;9
resultado;2;19;7;10;9
reforma;24;18;1;2;1
perder;12;4;8;16;10
militar;5;7;15;2;15
esquerdo;1;2;6;25;13
difícil;3;4;4;26;10
aumento;2;33;3;7;2
segurança;0;6;14;4;10
povo;2;1;6;23;7
discurso;7;7;8;23;4
colocar;5;5;5;9;18
próximo;5;13;1;4;21
manter;2;7;9;17;11
longo;4;17;4;9;10
deputado;1;4;5;5;12
câmara;2;5;3;3;10
considerar;3;9;4;15;13
bom;8;12;2;17;5
bem;4;9;3;28;4
acabar;13;1;2;14;13
melhor;12;10;1;19;4
global;3;8;7;15;9
covid_19;1;18;4;12;4
china;2;0;1;5;31
aumentar;4;23;1;11;4
alto;2;31;3;4;2
agenda;20;13;5;6;2
humano;0;1;9;6;3
auxílio;0;44;0;0;0
apoio;11;8;4;6;14
sistema;2;7;12;12;6
mês;1;16;1;3;18
livro;2;0;3;23;5
ideia;4;6;1;22;5
ganhar;4;0;9;14;16
financeiro;29;6;1;5;3
emergencial;3;37;0;0;0
decisão;14;1;4;9;4
ação;14;11;6;7;4
possível;5;11;4;17;6
mídia;2;2;5;24;5
movimento;3;4;4;18;11
investimento;9;21;0;3;3
frente;8;8;1;4;16
começar;1;12;1;19;10
claro;3;3;5;19;9
violência;1;4;10;14;8
república;4;9;10;5;3
lado;2;4;8;11;10
internacional;1;3;4;20;8
gestão;9;7;7;11;6
existir;1;7;4;21;1
casa;5;2;1;8;14
campanha;1;7;7;5;16
seguir;3;3;2;13;19
preciso;14;6;0;11;7
população;1;11;10;14;1
jornalista;7;0;15;8;4
criar;1;13;3;15;3
usar;1;8;5;17;4
sair;4;6;7;12;8
rede;3;3;13;12;6
número;5;15;3;3;2
guerra;1;5;3;18;12
esperar;11;11;0;2;12
constituição;0;10;17;5;4
cenário;10;14;5;4;5
caminho;3;11;1;7;16
vacinação;2;18;3;4;4
setor;7;17;1;7;0
semana;4;11;0;9;12
produto;3;15;1;6;0
presidência;6;3;1;4;9
falta;4;9;1;10;3
donald;1;0;3;2;28
certo;2;5;4;18;6
branco;8;1;1;8;10
ponto;0;6;18;8;1
guedes;28;7;3;0;0
controlo;5;13;3;5;5
gasto;4;27;0;1;1
folha;16;4;5;3;5
espaço;7;8;6;7;8
acordo;0;5;2;5;22
visão;12;5;4;10;0
tratar;0;6;8;13;3
situação;4;8;4;13;3
polícia;0;2;4;2;12
pior;7;10;1;16;2
gerar;4;23;2;6;1
década;5;2;3;13;10
chamar;2;3;5;11;10
regime;8;2;8;11;5
produzir;0;6;2;8;4
mudar;2;1;1;22;5
mudança;6;13;3;10;4
enfrentar;3;11;5;10;3
educação;1;25;0;3;0
debate;6;3;6;13;4
baixo;2;16;1;9;4
ataque;0;0;28;3;1
aprovar;5;17;0;1;6
uso;0;8;8;5;1
trazer;6;12;0;12;3
tomar;8;2;2;9;11
professor;0;2;8;12;6
permitir;4;6;3;12;4
morte;0;13;2;9;3
liberalismo;4;0;19;10;0
inflação;4;25;0;3;0
expressão;0;1;25;3;3
ex_presidente;13;0;4;4;6
contrário;4;7;9;6;7
ambiente;7;8;3;15;2
viver;0;1;4;21;3
termo;0;2;8;15;0
recurso;4;17;2;3;1
receber;5;2;1;11;11
pesquisa;5;7;1;4;5
papel;2;0;8;15;6
milhão;3;11;1;6;8
futuro;3;7;3;14;4
entrar;8;0;2;12;7
energia;9;15;0;2;0
combustível;8;25;0;0;0
cargo;3;1;5;2;18
campo;2;5;11;13;1
tema;0;5;1;18;2
século;1;0;5;19;3
responsabilidade;5;8;6;7;2
reduzir;5;17;2;6;2
necessário;4;12;5;5;2
impedir;8;6;3;5;9
general;11;0;4;1;8
europeu;2;3;0;4;20
apresentar;3;5;6;9;4
tribunal;1;5;4;3;0
supremo;3;0;1;2;2
redução;4;17;3;3;3
pt;11;1;1;12;5
proposta;1;17;2;4;3
programa;5;13;3;2;1
polarização;1;5;8;12;1
