"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"5";"***";"";""
"**";"classe";"1";"**";"";""
"****";"365";"2361";"15.46";"****";""
" 49";" 54";" 90.74";"239.64";"petrobras";"4.719328e-54"
" 70";"102";" 68.63";"230.58";"mercado";"4.459971e-52"
" 47";" 75";" 62.67";"132.08";"lula";"1.437654e-30"
" 22";" 24";" 91.67";"107.74";"estatal";"3.064100e-25"
" 28";" 38";" 73.68";"100.18";"guedes";"1.391279e-23"
" 36";" 60";" 60.00";" 93.45";"paulo";"4.166349e-22"
" 29";" 44";" 65.91";" 87.31";"financeiro";"9.266798e-21"
" 19";" 22";" 86.36";" 85.42";"investidor";"2.410288e-20"
"101";"315";" 32.06";" 76.68";"bolsonaro";"2.013933e-18"
" 80";"231";" 34.63";" 72.02";"presidente";"2.135548e-17"
" 36";" 75";" 48.00";" 62.76";"empresa";"2.337717e-15"
" 11";" 11";"100.00";" 60.43";"silva";"7.604891e-15"
" 18";" 27";" 66.67";" 54.80";"intervenção";"1.336333e-13"
" 26";" 50";" 52.00";" 52.19";"ministro";"5.048983e-13"
" 16";" 23";" 69.57";" 52.02";"vender";"5.482758e-13"
"  9";"  9";"100.00";" 49.40";"ferreira";"2.082391e-12"
"  9";"  9";"100.00";" 49.40";"luna";"2.082391e-12"
" 24";" 46";" 52.17";" 48.39";"reforma";"3.501848e-12"
" 10";" 11";" 90.91";" 48.14";"acionista";"3.976002e-12"
" 15";" 22";" 68.18";" 47.23";"conselho";"6.313654e-12"
"  9";" 10";" 90.00";" 42.69";"privatização";"6.401124e-11"
"  9";" 10";" 90.00";" 42.69";"intervir";"6.401124e-11"
" 15";" 24";" 62.50";" 41.05";"temer";"1.482633e-10"
"  9";" 11";" 81.82";" 37.24";"companhia";"1.047042e-09"
" 82";"306";" 26.80";" 34.58";"governo";"4.094327e-09"
" 14";" 24";" 58.33";" 34.10";"empresário";"5.231683e-09"
" 12";" 19";" 63.16";" 33.34";"equipa";"7.724565e-09"
"  6";"  6";"100.00";" 32.89";"tarifa";"9.729546e-09"
" 25";" 60";" 41.67";" 32.35";"projeto";"1.285927e-08"
"  7";"  8";" 87.50";" 31.88";"bbc";"1.643872e-08"
"  7";"  8";" 87.50";" 31.88";"mobius";"1.643872e-08"
"  7";"  8";" 87.50";" 31.88";"intervencionista";"1.643872e-08"
" 20";" 46";" 43.48";" 28.18";"agenda";"1.105532e-07"
" 16";" 33";" 48.48";" 27.93";"folha";"1.258343e-07"
"  5";"  5";"100.00";" 27.40";"castello";"1.653891e-07"
"  5";"  5";"100.00";" 27.40";"abraçar";"1.653891e-07"
"  7";"  9";" 77.78";" 26.85";"petista";"2.203980e-07"
"  6";"  7";" 85.71";" 26.51";"miranda";"2.616179e-07"
"  6";"  7";" 85.71";" 26.51";"michel";"2.616179e-07"
" 12";" 22";" 54.55";" 25.96";"economista";"3.489686e-07"
" 13";" 27";" 48.15";" 22.33";"ex_presidente";"2.295836e-06"
" 10";" 18";" 55.56";" 22.31";"chance";"2.317633e-06"
" 10";" 18";" 55.56";" 22.31";"jogar";"2.317633e-06"
"  4";"  4";"100.00";" 21.91";"pedido";"2.855781e-06"
"  4";"  4";"100.00";" 21.91";"wilson";"2.855781e-06"
"  4";"  4";"100.00";" 21.91";"ingênuo";"2.855781e-06"
"  4";"  4";"100.00";" 21.91";"divulgar";"2.855781e-06"
"  6";"  8";" 75.00";" 21.77";"estrangeiro";"3.068200e-06"
"  6";"  8";" 75.00";" 21.77";"intervencionismo";"3.068200e-06"
"  6";"  8";" 75.00";" 21.77";"equilíbrio";"3.068200e-06"
"  6";"  8";" 75.00";" 21.77";"perda";"3.068200e-06"
"  6";"  8";" 75.00";" 21.77";"empresariado";"3.068200e-06"
" 21";" 56";" 37.50";" 21.32";"acreditar";"3.886024e-06"
"  8";" 13";" 61.54";" 21.24";"comando";"4.059463e-06"
"  8";" 13";" 61.54";" 21.24";"elétrico";"4.059463e-06"
"  5";"  6";" 83.33";" 21.20";"privatizar";"4.130996e-06"
"  5";"  6";" 83.33";" 21.20";"demitir";"4.130996e-06"
"  9";" 16";" 56.25";" 20.51";"bolsa";"5.937469e-06"
"  9";" 16";" 56.25";" 20.51";"administração";"5.937469e-06"
" 14";" 32";" 43.75";" 19.87";"decisão";"8.309579e-06"
"  7";" 11";" 63.64";" 19.63";"reportagem";"9.417058e-06"
"  7";" 11";" 63.64";" 19.63";"participação";"9.417058e-06"
"  7";" 11";" 63.64";" 19.63";"governança";"9.417058e-06"
" 12";" 26";" 46.15";" 18.95";"banco";"1.341060e-05"
"  8";" 14";" 57.14";" 18.72";"eletrobras";"1.511539e-05"
"  8";" 14";" 57.14";" 18.72";"caminhoneiro";"1.511539e-05"
" 10";" 20";" 50.00";" 18.41";"dilma";"1.778621e-05"
"  6";"  9";" 66.67";" 18.13";"investir";"2.067661e-05"
"  6";"  9";" 66.67";" 18.13";"prejuízo";"2.067661e-05"
"  6";"  9";" 66.67";" 18.13";"capital";"2.067661e-05"
" 35";"121";" 28.93";" 17.70";"economia";"2.592906e-05"
" 11";" 24";" 45.83";" 17.12";"general";"3.517754e-05"
"  5";"  7";" 71.43";" 16.83";"probabilidade";"4.093415e-05"
"  5";"  7";" 71.43";" 16.83";"quebrar";"4.093415e-05"
"  5";"  7";" 71.43";" 16.83";"joaquim";"4.093415e-05"
" 16";" 42";" 38.10";" 16.76";"candidato";"4.233498e-05"
"  8";" 15";" 53.33";" 16.57";"agência";"4.693155e-05"
"  8";" 15";" 53.33";" 16.57";"ruim";"4.693155e-05"
"  3";"  3";"100.00";" 16.43";"baleia";"5.057721e-05"
"  3";"  3";"100.00";" 16.43";"fernando";"5.057721e-05"
"  3";"  3";"100.00";" 16.43";"luiz";"5.057721e-05"
"  3";"  3";"100.00";" 16.43";"felipe";"5.057721e-05"
"  4";"  5";" 80.00";" 15.97";"operador";"6.436885e-05"
"  4";"  5";" 80.00";" 15.97";"demissão";"6.436885e-05"
"  4";"  5";" 80.00";" 15.97";"rousseff";"6.436885e-05"
"  4";"  5";" 80.00";" 15.97";"mexer";"6.436885e-05"
"  6";" 10";" 60.00";" 15.24";"dono";"9.449016e-05"
"  6";" 10";" 60.00";" 15.24";"trocar";"9.449016e-05"
"  6";" 10";" 60.00";" 15.24";"integrante";"9.449016e-05"
"  6";" 10";" 60.00";" 15.24";"guinar";"9.449016e-05"
"  9";" 19";" 47.37";" 14.92";"membro";"1.120546e-04"
"  7";" 13";" 53.85";" 14.74";"alimentar";"1.235299e-04"
"  8";" 16";" 50.00";" 14.71";"ativo";"1.257067e-04"
" 19";" 58";" 32.76";" 13.61";"contar";"2.243987e-04"
"  5";"  8";" 62.50";" 13.59";"josé";"2.272948e-04"
" 14";" 38";" 36.84";" 13.51";"preciso";"2.371667e-04"
