de;353;442;314;678;458
a;301;388;286;597;406
o;286;387;248;552;385
em;274;325;222;511;357
que;247;279;195;505;306
ser;203;235;155;392;228
para;88;193;92;249;168
por;121;149;102;214;149
um;111;108;95;223;155
não;101;124;88;251;118
com;96;126;82;191;142
se;93;102;89;241;119
uma;104;113;78;241;112
ter;85;104;73;174;107
como;75;68;83;189;106
ir;93;98;39;147;103
mais;66;111;58;127;93
ao;54;76;46;104;81
poder;49;53;51;110;84
estar;48;59;44;117;65
ele;48;37;47;92;58
fazer;52;44;33;74;45
sua;36;35;42;95;56
seu;38;31;33;77;55
haver;42;47;19;80;42
muito;24;32;19;93;32
isso;34;43;20;76;37
outro;23;28;26;71;39
também;26;25;25;54;31
todo;21;34;24;46;27
já;24;38;20;48;31
sobre;27;32;23;55;25
entre;21;31;15;46;29
estado;14;29;31;35;44
contra;9;12;32;30;27
ainda;29;33;13;34;25
esse;14;21;26;47;20
ver;25;19;12;43;28
quando;11;19;16;45;31
essa;7;18;25;48;20
sem;15;24;20;31;18
dois;15;18;5;24;29
segundo;19;19;12;18;26
até;15;17;6;30;23
porque;15;21;11;37;12
tempo;7;16;10;37;14
parte;19;19;7;21;13
primeiro;11;17;7;21;14
agora;21;13;5;28;15
algum;20;10;5;29;14
qual;7;16;11;23;15
desde;8;12;12;23;20
assim;6;14;9;27;21
ela;6;13;11;25;13
tentar;7;6;12;24;17
depois;12;11;7;19;25
lhe;14;5;6;22;13
apenas;15;13;6;28;11
além;8;18;11;16;8
sempre;9;10;7;34;8
tudo;10;9;4;27;15
quem;12;9;10;21;13
cada;12;12;10;22;9
pouco;12;12;3;17;19
você;9;8;6;24;6
menos;7;13;4;15;15
qualquer;11;9;6;17;12
hoje;11;8;4;19;8
nada;8;4;5;22;7
este;5;9;8;20;9
fim;10;8;4;18;15
tanto;4;6;9;22;10
antes;10;4;6;9;14
nosso;5;7;9;23;3
eu;8;2;3;19;11
embora;4;9;4;17;10
tão;9;9;4;12;8
me;6;1;1;23;2
bilhão;12;16;1;0;5
então;14;2;5;13;9
alguma;7;3;3;19;10
muita;6;4;3;12;13
quase;2;13;4;13;8
quanto;3;8;6;13;8
nunca;7;6;5;13;8
apesar;6;8;4;10;11
aquele;3;4;6;17;7
2020;6;15;1;5;8
quatro;1;3;3;10;8
nós;3;0;4;16;10
após;8;6;3;6;12
talvez;4;4;2;16;9
algo;6;7;5;13;8
2022;9;4;5;10;10
sob;9;4;4;12;5
2019;1;9;3;5;8
nossa;5;7;7;11;4
5;6;17;1;3;3
maioria;1;7;5;10;11
durante;5;5;7;10;8
aí;5;7;1;12;5
aqui;6;3;2;12;7
esta;2;3;3;16;5
diante;10;8;3;4;6
verdade;8;2;7;10;6
três;1;4;4;12;4
2;1;10;0;7;4
1;2;13;0;5;3
trabalho;8;6;3;4;7
2018;8;7;2;2;7
nenhum;4;4;1;8;5
mil;2;7;0;5;9
vário;4;2;5;7;8
minha;0;3;1;14;5
hora;5;5;3;8;4
20;0;1;3;9;8
sim;4;2;3;11;5
lá;6;3;2;5;4
entanto;3;3;2;7;9
3;2;8;0;3;3
tal;4;2;6;5;0
isto;2;3;2;9;3
demais;2;4;4;7;4
alguém;4;2;2;8;2
meu;4;0;1;14;1
lhes;3;6;2;9;1
especialmente;3;3;2;10;3
10;2;9;0;6;2
inclusive;6;4;3;3;1
principalmente;2;1;1;11;4
aquela;7;1;2;4;1
dez;0;2;1;7;4
cujo;5;7;1;1;4
2021;0;12;0;3;3
dentro;3;4;3;6;0
cinco;2;3;1;6;1
12;2;7;2;1;5
ninguém;3;1;4;8;0
30;2;2;0;4;3
25;1;9;1;0;3
2016;2;2;0;4;8
15;3;4;0;2;4
bastante;1;2;1;7;5
9;1;6;2;2;2
4;3;10;0;1;1
verdadeiro;3;1;4;5;2
100;7;2;1;1;1
si;3;3;0;4;0
recentemente;2;3;2;2;3
provavelmente;0;1;2;3;3
novamente;2;5;0;2;2
jamais;3;1;1;3;2
diretamente;2;1;3;3;1
através;1;2;1;5;1
6;1;5;1;3;2
21;1;1;2;8;1
2017;2;5;0;3;3
19;0;2;7;3;2
11;2;4;1;1;5
realmente;1;1;1;7;1
rapidamente;0;2;2;5;3
cima;5;2;0;2;2
atualmente;0;1;2;4;0
atrás;2;2;0;7;2
ambos;3;0;4;4;1
acima;0;2;0;6;2
somente;2;5;2;0;1
sobretudo;0;4;2;3;1
simplesmente;0;0;1;5;4
mal;1;1;3;6;1
7;1;5;0;2;2
50;3;2;1;1;2
terceiro;5;0;2;0;3
longe;1;4;1;2;2
finalmente;3;1;1;4;2
exatamente;2;2;1;4;1
cuja;2;2;2;4;1
completamente;1;1;0;4;3
claramente;1;1;0;6;3
44;1;6;0;2;2
14;0;5;1;1;3
sete;2;1;0;0;4
politicamente;1;1;0;3;5
necessariamente;2;3;0;2;1
certamente;1;3;2;1;2
afinal;2;2;2;3;1
8;1;5;0;1;2
2014;0;3;0;3;2
seis;0;2;0;1;2
quão;2;0;0;1;5
nove;0;3;0;2;3
_;0;1;1;2;0
13;0;4;0;1;1
0;1;3;1;0;0
mim;1;0;0;6;1
logo;0;3;1;2;0
infelizmente;1;1;1;2;3
cedo;3;1;1;1;2
aquilo;0;0;1;5;0
90;1;3;0;0;0
60;1;2;0;2;2
26;0;2;1;0;3
18;0;3;2;1;1
trilhão;0;5;0;0;1
sequer;1;2;1;1;0
s;5;1;0;0;0
publicamente;0;1;1;1;4
ontem;3;1;1;0;0
oficialmente;2;0;0;0;4
justamente;0;1;1;2;2
eventualmente;3;1;0;1;1
b;0;1;1;1;0
ali;2;0;1;1;2
2012;1;0;0;3;3
17;1;0;0;1;1
quê;1;0;0;2;1
perto;0;1;1;3;1
oito;0;1;1;1;1
d;0;2;0;0;1
66;0;1;0;3;2
40;1;1;0;2;1
31;1;2;1;1;0
23;3;2;0;0;0
2015;0;5;0;0;1
2013;1;3;1;1;0
2008;0;1;1;2;2
1980;0;1;0;1;1
trás;0;1;1;2;0
totalmente;0;0;1;0;3
perfeitamente;1;2;1;1;0
historicamente;0;2;3;0;0
extremamente;0;1;3;1;0
exclusivamente;0;3;1;1;0
economicamente;1;1;0;2;1
consigo;0;0;1;2;1
aliás;1;0;1;3;0
absolutamente;1;1;0;1;1
49;2;2;0;1;0
46;1;1;1;0;2
38;1;1;0;1;1
37;0;3;0;1;1
22;1;0;0;1;1
200;0;1;0;2;1
1988;0;1;2;1;0
tarde;1;0;0;0;2
t;0;0;0;3;1
sexto;2;0;0;0;1
relativamente;0;2;0;1;1
normalmente;0;0;1;2;0
imediatamente;2;1;0;1;0
frequentemente;0;0;1;2;0
fortemente;0;0;2;1;1
excelência;0;0;2;2;0
evidentemente;0;0;2;1;0
essencialmente;0;1;1;2;0
enfim;2;0;1;1;0
dificilmente;0;2;0;1;1
corrente;0;1;0;2;1
constantemente;0;1;1;1;0
consequentemente;0;2;1;1;0
basicamente;0;1;1;1;1
amanhã;1;0;0;2;0
altamente;0;1;0;2;0
adiante;1;1;0;0;2
abaixo;0;2;1;1;0
88;0;0;4;0;0
80;3;0;0;0;0
70;2;1;0;0;1
67;0;2;0;0;2
600;0;2;0;0;1
55;0;3;0;1;0
51;0;3;0;0;0
35;0;1;1;1;0
34;0;4;0;0;0
300;0;2;1;0;1
27;0;2;0;1;1
2001;2;0;0;1;1
1967;0;2;1;0;1
1964;0;0;3;0;1
1921;0;0;0;4;0
16;0;2;0;0;1
tampouco;0;0;0;2;1
supostamente;0;0;1;2;0
salvo;0;0;0;2;1
respectivamente;0;2;1;0;0
quinto;1;1;0;0;1
plenamente;0;0;1;1;1
inicialmente;0;0;0;1;2
igualmente;1;0;0;1;1
geralmente;0;0;1;0;2
explicitamente;0;0;0;1;2
estruturalmente;0;2;0;1;0
doravante;1;0;0;2;0
diferentemente;1;0;0;0;2
cá;0;0;0;1;2
cem;0;0;0;3;0
arbitrariamente;2;1;0;0;0
ante;0;0;1;1;1
95;0;2;0;1;0
76;1;2;0;0;0
75;1;2;0;0;0
63;2;1;0;0;0
59;1;1;0;1;0
47;0;3;0;0;0
32;0;3;0;0;0
28;0;1;1;1;0
24;1;0;0;0;2
2011;0;1;1;0;1
197;0;0;1;0;2
