"";"x"
"1";5
"2";2
"3";5
"4";4
"5";4
"6";4
"7";5
"8";4
"9";5
"10";5
"11";5
"12";5
"13";4
"14";5
"15";3
"16";5
"17";5
"18";5
"19";5
"20";5
"21";5
"22";4
"23";4
"24";4
"25";0
"26";0
"27";0
"28";0
"29";0
"30";4
"31";0
"32";4
"33";4
"34";0
"35";4
"36";0
"37";0
"38";4
"39";0
"40";4
"41";4
"42";0
"43";4
"44";0
"45";0
"46";3
"47";3
"48";2
"49";3
"50";5
"51";3
"52";3
"53";3
"54";3
"55";3
"56";4
"57";0
"58";3
"59";0
"60";3
"61";3
"62";3
"63";5
"64";5
"65";2
"66";4
"67";4
"68";2
"69";0
"70";5
"71";0
"72";1
"73";2
"74";0
"75";5
"76";1
"77";2
"78";1
"79";5
"80";4
"81";4
"82";4
"83";5
"84";5
"85";5
"86";5
"87";3
"88";4
"89";4
"90";2
"91";4
"92";2
"93";2
"94";2
"95";2
"96";2
"97";2
"98";2
"99";2
"100";2
"101";2
"102";4
"103";2
"104";2
"105";2
"106";2
"107";2
"108";2
"109";2
"110";5
"111";3
"112";1
"113";3
"114";4
"115";1
"116";1
"117";1
"118";1
"119";1
"120";1
"121";0
"122";2
"123";4
"124";3
"125";4
"126";3
"127";5
"128";5
"129";3
"130";0
"131";3
"132";1
"133";5
"134";5
"135";5
"136";3
"137";5
"138";5
"139";5
"140";5
"141";5
"142";4
"143";3
"144";4
"145";4
"146";0
"147";4
"148";4
"149";3
"150";5
"151";5
"152";5
"153";5
"154";4
"155";5
"156";4
"157";4
"158";4
"159";3
"160";3
"161";3
"162";3
"163";3
"164";3
"165";3
"166";3
"167";4
"168";4
"169";3
"170";3
"171";3
"172";4
"173";4
"174";3
"175";4
"176";3
"177";3
"178";3
"179";0
"180";4
"181";3
"182";3
"183";3
"184";3
"185";3
"186";3
"187";4
"188";3
"189";4
"190";3
"191";3
"192";3
"193";2
"194";2
"195";3
"196";4
"197";3
"198";4
"199";3
"200";3
"201";4
"202";3
"203";3
"204";3
"205";3
"206";3
"207";5
"208";3
"209";4
"210";3
"211";4
"212";3
"213";3
"214";3
"215";3
"216";4
"217";1
"218";5
"219";2
"220";5
"221";1
"222";4
"223";1
"224";4
"225";5
"226";5
"227";5
"228";5
"229";5
"230";4
"231";5
"232";4
"233";5
"234";5
"235";4
"236";3
"237";4
"238";4
"239";4
"240";4
"241";4
"242";5
"243";4
"244";4
"245";4
"246";4
"247";4
"248";2
"249";4
"250";2
"251";3
"252";4
"253";4
"254";4
"255";3
"256";1
"257";2
"258";4
"259";2
"260";2
"261";2
"262";2
"263";2
"264";2
"265";2
"266";2
"267";2
"268";2
"269";2
"270";2
"271";2
"272";2
"273";2
"274";3
"275";4
"276";4
"277";0
"278";4
"279";4
"280";0
"281";3
"282";1
"283";5
"284";2
"285";4
"286";4
"287";1
"288";4
"289";0
"290";4
"291";2
"292";5
"293";3
"294";1
"295";1
"296";3
"297";4
"298";4
"299";3
"300";1
"301";2
"302";4
"303";3
"304";4
"305";4
"306";4
"307";3
"308";1
"309";4
"310";1
"311";4
"312";1
"313";4
"314";5
"315";0
"316";4
"317";5
"318";5
"319";5
"320";3
"321";5
"322";2
"323";3
"324";4
"325";1
"326";4
"327";4
"328";1
"329";4
"330";4
"331";4
"332";4
"333";4
"334";4
"335";4
"336";2
"337";4
"338";4
"339";4
"340";1
