"";"X.jor_01";"X.jor_02"
"prazo";0,4;0,17
"terceiro";0,13;0,17
"estrangeiro";0,17;0,04
"atingir";0,17;0,42
"custar";0,13;0,17
"china";0,28;1,39
"linha";0,15;0,13
"rapidamente";0,15;0,21
"reforma";0,66;0,67
"crítico";0,19;0,21
"área";0,27;0,42
"crítica";0,44;0,29
"constante";0,19;0,04
"preferir";0,19;0,25
"sentir";0,21;0,04
"realidade";0,32;0,29
"apoiador";0,25;0,29
"otavio";0,25;0
"fim";0,74;0,71
"surgir";0,21;0,21
"necessário";0,42;0,46
"oxigênio";0,08;0,55
"brasileiro";1,65;1,89
"até";1,44;1,68
"bater";0,13;0,34
"ato";0,3;0,34
"deixar";0,99;1,18
"adotar";0,36;0,17
"compromisso";0,21;0,17
"segunda_feira";0,19;0,13
"investigação";0,17;0,25
"este";0,78;0,67
"esta";0,55;0,25
"reportagem";0,21;0,08
"longo";0,66;0,59
"longe";0,11;0,21
"receber";0,47;0,38
"dois";1,5;1,68
"qual";1,1;1,14
"professor";0,59;0,17
"aliado";0,27;0,13
"rico";0,34;0,04
"policial";0,19;0,17
"comprar";0,19;0,17
"guerra";0,34;0,97
"diferença";0,3;0,29
"expressão";0,44;0,5
"criança";0,19;0
"preço";1,08;1,39
"retomada";0,15;0,08
"reação";0,19;0,13
"tarefa";0,11;0,17
"medida";1,29;0,63
"risco";0,81;0,84
"apoiar";0,4;0,38
"formar";0,13;0,17
"ideológico";0,4;0,21
"discurso";0,63;0,71
"deputado";0,61;0,71
"destacar";0,27;0,13
"gado";0,17;0,08
"abandonar";0,25;0,04
"complexo";0,09;0,21
"beneficiar";0,17;0,25
"oposição";0,36;0,42
"muito";3,45;2,65
"maneira";0,36;0,42
"uma";11,39;11,1
"afinal";0,06;0,29
"muita";0,63;0,5
"conhecido";0,15;0,46
"influência";0,15;0,25
"o";52,32;57,43
"bannon";0,17;0,38
"sob";0,57;0,42
"sol";0,42;0
"novo";2,43;1,85
"vontade";0,17;0,13
"seguir";0,55;0,55
"peso";0,08;0,25
"pensamento";0,15;0,08
"liberal";1,27;0,67
"moderno";0,27;0,46
"petróleo";0,21;0,38
"intervenção";0,34;0,42
"time";0,27;0
"pior";0,45;0,55
"entrevista";0,28;0,34
"tradicionalismo";0,23;0,67
"ver";1,91;1,85
"vez";1,76;1,51
"comum";0,19;0,21
"irmão";0,23;0
"querer";0,93;1,64
"mudança";0,45;0,5
"fronteira";0,13;0,17
"século";0,51;0,25
"juro";0,49;0,13
"aprovação";0,23;0,34
"positivo";0,13;0,25
"união";0,25;0,55
"só";1,44;1,43
"tirar";0,27;0,29
"trazer";0,44;0,5
"bastante";0,19;0,25
"colocar";0,76;0,42
"aproveitar";0,13;0,13
"vacinar";0,3;0,04
"justiça";0,3;0,34
"controlar";0,25;0,25
"si";0,23;0,08
"se";10,71;12,82
"recorde";0,17;0,13
"temer";0,23;0,59
"determinar";0,13;0,17
"organizar";0,23;0,13
"internet";0,09;0,25
"porcento";2,08;3,24
"calamidade";0,21;0,13
"brasil";3,34;3,57
"voto";0,74;0,55
"bbc";0,25;0
"2";0,34;0,63
"probabilidade";0,19;0,04
"massa";0,15;0,21
"auxílio";0,59;0,67
"disputa";0,23;0,13
"seguidor";0,32;0,04
"população";0,63;0,38
"vender";0,15;0,8
"alcançar";0,19;0,17
"entregar";0,15;0,08
"pessoa";1,63;0,92
"putin";0,17;0,04
"oportunidade";0,15;0,17
"estatal";0,34;0,55
"processo";0,81;0,42
"categoria";0,19;0,04
"floresta";0,06;0,34
"solução";0,17;0,21
