"";"*jor_01";"*jor_02"
"prazo";21;4
"terceiro";7;4
"estrangeiro";9;1
"atingir";9;10
"custar";7;4
"china";15;33
"linha";8;3
"rapidamente";8;5
"reforma";35;16
"crítico";10;5
"área";14;10
"crítica";23;7
"constante";10;1
"preferir";10;6
"sentir";11;1
"realidade";17;7
"apoiador";13;7
"otavio";13;0
"fim";39;17
"surgir";11;5
"necessário";22;11
"oxigênio";4;13
"brasileiro";87;45
"até";76;40
"bater";7;8
"ato";16;8
"deixar";52;28
"adotar";19;4
"compromisso";11;4
"segunda_feira";10;3
"investigação";9;6
"este";41;16
"esta";29;6
"reportagem";11;2
"longo";35;14
"longe";6;5
"receber";25;9
"dois";79;40
"qual";58;27
"professor";31;4
"aliado";14;3
"rico";18;1
"policial";10;4
"comprar";10;4
"guerra";18;23
"diferença";16;7
"expressão";23;12
"criança";10;0
"preço";57;33
"retomada";8;2
"reação";10;3
"tarefa";6;4
"medida";68;15
"risco";43;20
"apoiar";21;9
"formar";7;4
"ideológico";21;5
"discurso";33;17
"deputado";32;17
"destacar";14;3
"gado";9;2
"abandonar";13;1
"complexo";5;5
"beneficiar";9;6
"oposição";19;10
"muito";182;63
"maneira";19;10
"uma";601;264
"afinal";3;7
"muita";33;12
"conhecido";8;11
"influência";8;6
"o";2761;1366
"bannon";9;9
"sob";30;10
"sol";22;0
"novo";128;44
"vontade";9;3
"seguir";29;13
"peso";4;6
"pensamento";8;2
"liberal";67;16
"moderno";14;11
"petróleo";11;9
"intervenção";18;10
"time";14;0
"pior";24;13
"entrevista";15;8
"tradicionalismo";12;16
"ver";101;44
"vez";93;36
"comum";10;5
"irmão";12;0
"querer";49;39
"mudança";24;12
"fronteira";7;4
"século";27;6
"juro";26;3
"aprovação";12;8
"positivo";7;6
"união";13;13
"só";76;34
"tirar";14;7
"trazer";23;12
"bastante";10;6
"colocar";40;10
"aproveitar";7;3
"vacinar";16;1
"justiça";16;8
"controlar";13;6
"si";12;2
"se";565;305
"recorde";9;3
"temer";12;14
"determinar";7;4
"organizar";12;3
"internet";5;6
"porcento";110;77
"calamidade";11;3
"brasil";176;85
"voto";39;13
"bbc";13;0
"2";18;15
"probabilidade";10;1
"massa";8;5
"auxílio";31;16
"disputa";12;3
"seguidor";17;1
"população";33;9
"vender";8;19
"alcançar";10;4
"entregar";8;2
"pessoa";86;22
"putin";9;1
"oportunidade";8;4
"estatal";18;13
"processo";43;10
"categoria";10;1
"floresta";3;8
"solução";9;5
"cujo";9;10
"aspecto";11;3
"cuja";8;3
"folha";34;4
"definir";10;6
"hoje";40;19
"ascensão";7;11
"aí";22;15
"diretor";10;7
"coalizão";9;9
"neoliberalismo";10;0
"rússia";4;10
"reeleição";11;4
"mundo";96;45
"pedir";14;9
"pesquisa";25;9
"terra";7;5
"ferreira";0;12
"aplicar";6;5
"essencial";7;6
"reconhecer";11;3
"social";94;43
"via";11;4
"três";23;10
"vir";62;22
"reunião";7;3
"corte";15;5
"silva";6;10
"obrigar";7;4
"certamente";9;1
"diferente";43;9
"visão";26;11
"ponto";33;6
"biden";39;33
"evento";12;7
"não";584;308
"plano";15;10
"fundamental";8;11
