"";"X.jor_01";"X.jor_02"
"pre";1,0088;-1,0088
"ver_sup";-0,8562;0,8562
"ono";0,7376;-0,7376
"pro_per";-2,1369;2,1369
"num";0,6325;-0,6325
"conj";0,6132;-0,6132
"adv";-0,7433;0,7433
"ver";-0,5584;0,5584
"pro_int";-0,4145;0,4145
"nr";-4,8722;4,8722
"pro_ind";1,5811;-1,5811
"adj";1,7902;-1,7902
"pro_dem";1,15;-1,15
"nom";0,6561;-0,6561
"adj ";0,3098;-0,3098
"adv_sup";0,3411;-0,3411
"nom_sup";0,3757;-0,3757
"pro_pos";1,9761;-1,9761
"adj_sup";0,3237;-0,3237
"art_def";-1,7545;1,7545
"sw";-1,5176;1,5176
"adj_num";2,8515;-2,8515
"pro_rel";-1,131;1,131
