"";"";"";"";"desinformação";""
"1";"desinformação";"1.2416167955972";"4.27995321385306";"1.78119275735449";"25"
"2";"bruxelas";"1.2416167955972";"4.27995321385306";"1.78119275735449";"26"
"3";"acrescentar";"1.2416167955972";"4.27995321385306";"1.78119275735449";"27"
"4";"preocupação";"-2.45977408301491";"0.121195107336103";"1.35466593508631";"68"
"5";"rosanvallon";"0.857256072069174";"-0.385469100821961";"1.279639555987";"88"
"6";"maneira";"0.857256072069174";"-0.385469100821961";"1.279639555987";"90"
"7";"destruição";"0.857256072069174";"-0.385469100821961";"1.279639555987";"91"
"8";"proteger";"-2.45977408301491";"0.121195107336104";"1.24207993922256";"105"
"9";"perda";"-2.45977408301491";"0.121195107336104";"1.24207993922256";"109"
"10";"guinar";"-2.45977408301491";"0.121195107336104";"1.24207993922256";"110"
"11";"governar";"-2.45977408301491";"0.121195107336104";"1.24207993922256";"111"
"12";"diesel";"-2.45977408301491";"0.121195107336104";"1.24207993922256";"112"
"13";"combustível";"-2.45977408301491";"0.121195107336104";"1.24207993922256";"113"
"14";"caminhoneiro";"-2.45977408301491";"0.121195107336104";"1.24207993922256";"114"
"15";"bolsa";"-2.45977408301491";"0.121195107336104";"1.24207993922256";"115"
"16";"base";"-2.45977408301491";"0.121195107336104";"1.24207993922256";"116"
"17";"concepção";"1.05338837616902";"-1.57332037920061";"1.24207993922256";"127"
"18";"tradicional";"1.02069965881905";"-1.3753451661375";"1.1878529523488";"138"
"19";"baseado";"1.11349655442119";"2.72481244229472";"1.17480690499304";"154"
"20";"surpreender";"0.857256072069174";"-0.385469100821961";"1.1582323893133";"163"
"21";"fascista";"0.857256072069174";"-0.385469100821961";"1.1582323893133";"166"
"22";"constante";"0.857256072069174";"-0.385469100821961";"1.1582323893133";"167"
"23";"conflito";"0.857256072069174";"-0.385469100821961";"1.1582323893133";"168"
"24";"conduzir";"0.857256072069174";"-0.385469100821961";"1.1582323893133";"169"
"25";"rcifrão";"-2.45977408301491";"0.121195107336104";"1.13014392436585";"171"
"26";"vacinação";"-2.45977408301491";"0.121195107336104";"1.13014392436585";"172"
"27";"presidência";"-2.45977408301491";"0.121195107336104";"1.13014392436585";"173"
"28";"imposto";"-2.45977408301491";"0.121195107336104";"1.13014392436585";"174"
"29";"surto";"-2.45977408301491";"0.121195107336104";"1.13014392436585";"175"
"30";"programa";"-2.45977408301491";"0.121195107336104";"1.13014392436585";"176"
"31";"mobius";"-2.45977408301491";"0.121195107336104";"1.13014392436585";"177"
"32";"investimento";"-2.45977408301491";"0.121195107336104";"1.13014392436585";"178"
"33";"intervencionismo";"-2.45977408301491";"0.121195107336104";"1.13014392436585";"179"
"34";"escalada";"-2.45977408301491";"0.121195107336104";"1.13014392436585";"181"
"35";"compromisso";"-2.45977408301491";"0.121195107336104";"1.13014392436585";"182"
"36";"subir";"-2.45977408301491";"0.121195107336104";"1.13014392436585";"183"
"37";"menor";"-2.45977408301491";"0.121195107336104";"1.13014392436585";"184"
"38";"assustar";"-2.45977408301491";"0.121195107336104";"1.13014392436585";"186"
"39";"ameaça";"-2.45977408301491";"0.121195107336104";"1.13014392436585";"187"
"40";"prometer";"1.05338837616902";"-1.57332037920061";"1.13014392436585";"188"
"41";"trumpismo";"1.05338837616902";"-1.57332037920061";"1.13014392436585";"190"
"42";"tecnocrata";"1.05338837616902";"-1.57332037920061";"1.13014392436585";"191"
"43";"interromper";"1.05338837616902";"-1.57332037920061";"1.13014392436585";"195"
"44";"indiano";"1.05338837616902";"-1.57332037920061";"1.13014392436585";"196"
"45";"erosão";"1.05338837616902";"-1.57332037920061";"1.13014392436585";"197"
"46";"científico";"1.05338837616902";"-1.57332037920061";"1.13014392436585";"198"
"47";"chamado";"1.05338837616902";"-1.57332037920061";"1.13014392436585";"199"
"48";"extremo";"0.553196391240707";"0.057223704117421";"1.11459080741147";"205"
"49";"imagem";"1.01416191534905";"-1.33575012352488";"1.08292744692525";"218"
"50";"impossível";"1.05225924978736";"-0.56744539756742";"1.07405984890052";"225"
"51";"possível";"0.151527984874981";"-0.0924143021764288";"1.00441902671675";"248"
"52";"fortalecer";"0.906289148094137";"-0.682431920416623";"1.00307263748787";"249"
"53";"lembrar";"0.906289148094137";"-0.682431920416623";"1.00307263748787";"251"
"54";"fenômeno";"0.906289148094137";"-0.682431920416623";"1.00307263748787";"252"
"55";"democracia";"0.892480232691167";"-0.344542304119584";"0.997919216646267";"253"
"56";"republicano";"0.987484015824296";"-0.707961628312238";"0.991976533153252";"255"
"57";"próximo";"0.499232702876398";"-0.315355532602211";"0.983155362343308";"257"
"58";"possibilidade";"0.175097761373041";"-1.14969150756643";"0.982366099691892";"265"
"59";"incluir";"1.00435530014406";"-1.27635755960595";"0.982366099691892";"266"
"60";"polarização";"0.00538357773968621";"0.0688548683389995";"0.981205419322163";"269"
"61";"donald";"0.772030384646846";"-0.656139332334217";"0.951074156923986";"279"
"62";"mundo";"0.817704979279122";"-0.0760704906453314";"0.937888827923859";"280"
"63";"democrático";"1.01023089890882";"-0.312905837914853";"0.931156881779429";"285"
"64";"força";"0.495470223685648";"-0.991860658730035";"0.917367998987043";"287"
"65";"avanço";"0.550378898475367";"-0.325371756633605";"0.917367998987043";"288"
"66";"especialista";"0.935708993709114";"-0.86060961217342";"0.917043008483518";"289"
"67";"personalista";"0.935708993709114";"-0.86060961217342";"0.917043008483518";"292"
"68";"papel";"0.233076501872328";"-0.521706514866078";"0.917043008483518";"293"
"69";"movimento";"1.01557235233132";"0.562959363622504";"0.903161271261554";"298"
"70";"geral";"0.922633506769124";"-0.781419526948177";"0.901768454817879";"306"
"71";"internacional";"0.974935454529084";"-1.09817986784915";"0.901350609884776";"308"
"72";"debate";"0.974935454529084";"-1.09817986784915";"0.901350609884776";"309"
