"";"X";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"1";1;0;0;0;0;0;0;3;3;3
"2";2;0;0;0;0;0;0;0;0;0
"3";3;0;0;0;0;0;0;2;2;2
"4";4;0;0;0;0;0;0;0;0;1
"5";5;0;0;0;0;0;0;0;0;1
"6";6;0;0;0;0;0;0;2;2;2
"7";7;0;0;0;0;0;0;2;2;2
"8";8;0;0;0;0;0;0;3;3;3
"9";9;0;0;0;0;0;0;0;0;0
"10";10;0;0;0;0;0;0;3;3;3
"11";11;0;0;0;0;0;0;0;0;1
"12";12;0;0;0;0;0;0;0;0;1
"13";13;0;0;0;0;0;0;0;0;0
"14";14;0;0;0;0;0;0;3;3;3
"15";15;0;0;0;0;0;0;0;0;1
"16";16;0;0;0;0;0;0;0;0;1
"17";17;0;0;0;0;0;0;0;0;0
"18";18;0;0;0;0;0;0;3;3;3
"19";19;0;0;0;0;0;0;0;0;1
"20";20;0;0;0;0;0;0;0;0;0
"21";21;0;0;0;0;0;0;0;0;0
"22";22;0;0;0;0;4;4;4;4;4
"23";23;0;0;0;0;0;0;0;0;1
"24";24;0;0;0;0;0;0;0;0;1
"25";25;0;0;0;0;0;0;0;0;1
"26";26;0;0;0;0;0;0;0;0;1
"27";27;0;0;0;0;0;0;3;3;3
"28";28;0;0;0;0;4;4;4;4;4
"29";29;0;0;0;0;0;0;0;0;1
"30";30;0;0;0;0;4;4;4;4;4
"31";31;0;0;0;0;0;0;0;0;1
"32";32;0;0;0;0;0;0;0;0;0
"33";33;0;0;0;0;0;0;2;2;2
"34";34;0;0;0;0;0;0;0;0;0
"35";35;0;0;0;0;0;0;0;0;1
"36";36;0;0;0;0;0;0;0;0;1
"37";37;0;0;0;0;0;0;3;3;3
"38";38;0;0;0;0;0;0;3;3;3
"39";39;0;0;0;0;0;0;0;0;0
"40";40;0;0;0;0;0;0;3;3;3
"41";41;0;0;0;0;0;0;0;0;0
"42";42;0;0;0;0;0;0;0;0;0
"43";43;0;0;0;0;0;0;3;3;3
"44";44;0;0;0;0;4;4;4;4;4
"45";45;0;0;0;0;0;0;2;2;2
"46";46;0;0;0;0;0;0;0;0;1
"47";47;0;0;0;0;0;0;0;0;0
"48";48;0;0;0;0;0;0;3;3;3
"49";49;0;0;0;0;4;4;4;4;4
"50";50;0;0;0;0;0;0;2;2;2
"51";51;0;0;0;0;0;0;0;0;0
"52";52;0;0;0;0;0;0;0;0;1
"53";53;0;0;0;0;0;0;0;0;0
"54";54;0;0;0;0;0;0;3;3;3
"55";55;0;0;0;0;0;0;3;3;3
"56";56;0;0;0;0;0;0;3;3;3
"57";57;0;0;0;0;0;0;3;3;3
"58";58;0;0;0;0;0;0;0;0;0
"59";59;0;0;0;0;0;0;0;0;1
"60";60;0;0;0;0;0;0;0;0;1
"61";61;0;0;0;0;0;0;0;0;1
"62";62;0;0;0;0;0;0;0;0;0
"63";63;0;0;0;0;0;0;0;0;1
"64";64;0;0;0;0;0;0;3;3;3
"65";65;0;0;0;0;4;4;4;4;4
"66";66;0;0;0;0;0;0;3;3;3
"67";67;0;0;0;0;0;0;3;3;3
"68";68;0;0;0;0;0;0;0;0;0
"69";69;0;0;0;0;0;0;0;0;1
"70";70;0;0;0;0;0;0;0;0;1
"71";71;0;0;0;0;0;0;2;2;2
"72";72;0;0;0;0;0;0;0;0;0
"73";73;0;0;0;0;0;0;2;2;2
"74";74;0;0;0;0;0;0;3;3;3
"75";75;0;0;0;0;0;0;2;2;2
"76";76;0;0;0;0;4;4;4;4;4
"77";77;0;0;0;0;0;0;3;3;3
"78";78;0;0;0;0;0;0;3;3;3
"79";79;0;0;0;0;0;0;2;2;2
"80";80;0;0;0;0;0;0;2;2;2
"81";81;0;0;0;0;0;0;3;3;3
"82";82;0;0;0;0;4;4;4;4;4
"83";83;0;0;0;0;0;0;2;2;2
"84";84;0;0;0;0;0;0;0;0;0
"85";85;0;0;0;0;0;0;0;0;0
"86";86;0;0;0;0;0;0;3;3;3
