"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"populismo";-0,030020844494139;-0,243153005010483;-0,236927781284504;-0,0880837324239293;-0,713431770235481;-0,695166429929507;0,0104895691082291;0,551124044867575;0,438386386024146;3,45218757970356e-05;0,00226468528520025;0,00215020838397847;0,0383043922369765;0,185547290208849;0,00131873583645991
"populista";0,40697573465678;-0,486690561893257;0,500701516991859;0,50355367895523;-0,602185344442759;0,619521188781311;0,316355602803065;0,362345260810953;0,321299136385979;0,00384889214058931;0,00550433119925273;0,00582581277572354;0,0232379979570991;0,458027217661357;0,00487507477599412
"político";0,490447447436022;0,393505651429837;-0,987085877378214;0,419059757770773;0,336228445742148;-0,843409361870569;0,236210705911521;0,12178528207753;0,642004012010947;0,00393117382956502;0,0025306916887799;0,0159238166180922;0,0163432073544433;0,638782817116076;0,00666873932490704
"bolsonaro";-1,10257027896601;-0,117446095233075;-0,187350933135813;-0,980476952392803;-0,1044406798563;-0,166604592426722;0,972326461592817;0,00883598448923852;0,0188375539179424;0,0211095411041944;0,000239520888512199;0,000609505951477648;0,017364657814096;0,707800335867181;0,00869936911410909
"direito";0,753861296679221;-0,860426882565329;-0,0825358254555276;0,657284978513478;-0,750198567708165;-0,0719622541972898;0,487477490763763;0,508601752331979;0,00392075690425867;0,00682084325016628;0,00888552547276079;8,17598663765041e-05;0,0120020429009193;0,683478250676874;0,00560666455566166
"governo";-0,198130721333268;-0,216706644835659;0,121408275139194;-0,623566075355614;-0,682029072091026;0,382101680823638;0,452475712800347;0,433525178788172;0,113999108411476;0,000491198507167011;0,000587621737967437;0,000184437817758283;0,0125127681307457;0,18645100120572;0,000434993569121591
"presidente";-1,31194396490654;0,033109212554809;0,496094696582156;-0,935100441500595;0,0235989036924641;0,353596176520486;0,912031990547646;0,000465216855799145;0,0875027925965528;0,0188997624063717;1,20371445628139e-05;0,00270243303447612;0,0109805924412666;0,869602512023187;0,00830361765664776
"política";0,605329167302704;-0,184890626370192;-0,698620541751417;0,642124496250491;-0,196129323898956;-0,741086647850299;0,508011049744349;0,0379575334293001;0,45403141682635;0,00355569183603694;0,000331719270005964;0,00473613001316845;0,00970377936670072;0,537607794531618;0,00280460708584364
"trump";1,00651999442581;-0,921401662140807;0,56875129760693;0,680836564756272;-0,623260288803834;0,38471831837208;0,530387347580645;0,355979151135972;0,113633501283384;0,0098307290522982;0,00823832453366751;0,00313895951586403;0,00970377936670072;0,874855576352414;0,00742700373341337
"brasil";-1,11300385292897;-0,00384468423869051;0,211166612265602;-0,982467988593656;-0,00339377009416792;0,186400465968524;0,976407533835591;9,33119744086989e-06;0,023583134966966;0,00980646191922281;1,17014684308552e-07;0,000352995781973356;0,00791624106230848;0,713003468325592;0,00402441070510062
"partido";0,525863560892156;-0,756325435101042;0,125175081217371;0,56566400921485;-0,813568594037189;0,134649067859132;0,371093227705211;0,614798108592671;0,0141086637021186;0,00211848175184508;0,00438223823121129;0,000120036779553949;0,0076608784473953;0,546439517389052;0,002287508780626
"país";0,593461433849087;-0,680287381670001;0,323703420693033;0,618803233812277;-0,709336795432155;0,337526100427078;0,444045414131115;0,46731040957897;0,0886441762899158;0,00305788562253608;0,00401810299704302;0,000909768323627325;0,00868232890704801;0,56375361850151;0,00275940164471414
"democracia";0,892480232691167;-0,344542304119584;-0,0561485956219415;0,931293733673946;-0,3595262696683;-0,0585904688327155;0,891251455120726;0,106381567639957;0,00236697723931656;0,00671225532930742;0,0010003601066969;2,65673999183959e-05;0,00842696629213483;0,598424017449293;0,00301779189320353
