"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"4";"***";"";""
"**";"classe";"1";"**";"";""
"****";"107";"360";"29.72";"****";""
" 0";"38";" 0.00";"-17.97";"trump";"2.246805e-05"
" 3";"47";" 6.38";"-14.10";"direito";"1.736098e-04"
" 1";"33";" 3.03";"-12.39";"democracia";"4.312590e-04"
" 0";"27";" 0.00";"-12.34";"líder";"4.422082e-04"
" 9";"64";"14.06";" -9.14";"político";"2.503304e-03"
"16";"91";"17.58";" -8.59";"populista";"3.375643e-03"
" 4";"38";"10.53";" -7.49";"política";"6.188444e-03"
" 0";"16";" 0.00";" -7.08";"sociedade";"7.788234e-03"
" 1";"21";" 4.76";" -6.65";"novo";"9.906948e-03"
" 0";"15";" 0.00";" -6.62";"republicano";"1.008572e-02"
" 1";"20";" 5.00";" -6.20";"mundo";"1.280209e-02"
" 0";"14";" 0.00";" -6.16";"democrático";"1.306325e-02"
" 0";"14";" 0.00";" -6.16";"americano";"1.306325e-02"
" 4";"34";"11.76";" -5.80";"país";"1.605918e-02"
" 0";"13";" 0.00";" -5.70";"eua";"1.692628e-02"
" 0";"12";" 0.00";" -5.25";"unido";"2.194548e-02"
" 1";"17";" 5.88";" -4.85";"instituição";"2.757031e-02"
" 0";"11";" 0.00";" -4.80";"nacional";"2.847950e-02"
" 0";"11";" 0.00";" -4.80";"violência";"2.847950e-02"
" 0";"11";" 0.00";" -4.80";"sistema";"2.847950e-02"
" 0";"11";" 0.00";" -4.80";"movimento";"2.847950e-02"
" 0";"11";" 0.00";" -4.80";"europa";"2.847950e-02"
" 2";"22";" 9.09";" -4.77";"social";"2.887777e-02"
" 1";"16";" 6.25";" -4.42";"donald";"3.559405e-02"
" 0";"10";" 0.00";" -4.35";"itália";"3.700711e-02"
" 4";"30";"13.33";" -4.21";"partido";"4.022598e-02"
" 0";" 9";" 0.00";" -3.90";"diferente";"4.817352e-02"
" 0";" 9";" 0.00";" -3.90";"esquerdo";"4.817352e-02"
" 0";" 9";" 0.00";" -3.90";"seguidor";"4.817352e-02"
" 0";" 9";" 0.00";" -3.90";"cultura";"4.817352e-02"
" 0";" 8";" 0.00";" -3.46";"vacina";"6.285911e-02"
" 0";" 8";" 0.00";" -3.46";"biden";"6.285911e-02"
" 0";" 8";" 0.00";" -3.46";"adotar";"6.285911e-02"
" 0";" 8";" 0.00";" -3.46";"ideia";"6.285911e-02"
" 0";" 8";" 0.00";" -3.46";"ganhar";"6.285911e-02"
" 0";" 8";" 0.00";" -3.46";"conservador";"6.285911e-02"
" 0";" 8";" 0.00";" -3.46";"cientista";"6.285911e-02"
" 0";" 7";" 0.00";" -3.02";"derrota";"8.228503e-02"
" 0";" 7";" 0.00";" -3.02";"italiano";"8.228503e-02"
" 0";" 7";" 0.00";" -3.02";"rede";"8.228503e-02"
" 0";" 7";" 0.00";" -3.02";"impossível";"8.228503e-02"
" 0";" 7";" 0.00";" -3.02";"baixo";"8.228503e-02"
" 2";"17";"11.76";" -2.75";"autoritário";"9.697814e-02"
" 2";"17";"11.76";" -2.75";"dever";"9.697814e-02"
" 0";" 6";" 0.00";" -2.58";"termo";"1.081835e-01"
" 0";" 6";" 0.00";" -2.58";"lado";"1.081835e-01"
" 0";" 6";" 0.00";" -2.58";"tradicional";"1.081835e-01"
" 0";" 6";" 0.00";" -2.58";"motivo";"1.081835e-01"
" 0";" 6";" 0.00";" -2.58";"liberdade";"1.081835e-01"
" 0";" 6";" 0.00";" -2.58";"europeu";"1.081835e-01"
" 0";" 6";" 0.00";" -2.58";"tratar";"1.081835e-01"
" 0";" 6";" 0.00";" -2.58";"sentido";"1.081835e-01"
" 0";" 6";" 0.00";" -2.58";"livre";"1.081835e-01"
" 0";" 6";" 0.00";" -2.58";"impedir";"1.081835e-01"
" 0";" 6";" 0.00";" -2.58";"frança";"1.081835e-01"
" 0";" 6";" 0.00";" -2.58";"forte";"1.081835e-01"
" 0";" 6";" 0.00";" -2.58";"declínio";"1.081835e-01"
" 0";" 6";" 0.00";" -2.58";"continuar";"1.081835e-01"
" 0";" 6";" 0.00";" -2.58";"apoiador";"1.081835e-01"
" 2";"16";"12.50";" -2.38";"forma";"1.230846e-01"
" 1";"11";" 9.09";" -2.31";"fato";"1.283628e-01"
" 1";"11";" 9.09";" -2.31";"chegar";"1.283628e-01"
" 1";"11";" 9.09";" -2.31";"levar";"1.283628e-01"
" 1";"11";" 9.09";" -2.31";"coisa";"1.283628e-01"
" 3";"20";"15.00";" -2.20";"estado";"1.382474e-01"
" 0";" 5";" 0.00";" -2.14";"nacionalismo";"1.430902e-01"
" 0";" 5";" 0.00";" -2.14";"número";"1.430902e-01"
" 0";" 5";" 0.00";" -2.14";"internacional";"1.430902e-01"
" 0";" 5";" 0.00";" -2.14";"especialista";"1.430902e-01"
" 0";" 5";" 0.00";" -2.14";"debate";"1.430902e-01"
" 0";" 5";" 0.00";" -2.14";"ataque";"1.430902e-01"
" 0";" 5";" 0.00";" -2.14";"acontecer";"1.430902e-01"
" 0";" 5";" 0.00";" -2.14";"washington";"1.430902e-01"
" 0";" 5";" 0.00";" -2.14";"vida";"1.430902e-01"
" 0";" 5";" 0.00";" -2.14";"polônia";"1.430902e-01"
" 0";" 5";" 0.00";" -2.14";"personalista";"1.430902e-01"
" 0";" 5";" 0.00";" -2.14";"onda";"1.430902e-01"
" 0";" 5";" 0.00";" -2.14";"independente";"1.430902e-01"
" 0";" 5";" 0.00";" -2.14";"imagem";"1.430902e-01"
" 0";" 5";" 0.00";" -2.14";"expressão";"1.430902e-01"
" 0";" 5";" 0.00";" -2.14";"civil";"1.430902e-01"
" 0";" 5";" 0.00";" -2.14";"capitólio";"1.430902e-01"
" 0";" 5";" 0.00";" -2.14";"ação";"1.430902e-01"
" 0";" 5";" 0.00";" -2.14";"arma";"1.430902e-01"
"*****";"*";"*";"*";"*";"*"
" 4";" 32";"12.50";"-4.99";"outro";"0.02553534"
"22";"103";"21.36";"-4.83";"não";"0.02795343"
"18";" 87";"20.69";"-4.48";"como";"0.03427216"
" 0";"  9";" 0.00";"-3.90";"nada";"0.04817352"
" 1";" 14";" 7.14";"-3.56";"contra";"0.05935489"
" 2";" 19";"10.53";"-3.54";"quando";"0.05995952"
"24";"104";"23.08";"-3.09";"se";"0.07868281"
" 0";"  7";" 0.00";"-3.02";"entanto";"0.08228503"
" 7";" 39";"17.95";"-2.90";"sua";"0.08844154"
" 1";" 12";" 8.33";"-2.72";"ela";"0.09917084"
" 0";"  6";" 0.00";"-2.58";"tempo";"0.10818347"
" 0";"  5";" 0.00";"-2.14";"2016";"0.14309023"
" 0";"  5";" 0.00";"-2.14";"20";"0.14309023"
" 4";" 24";"16.67";"-2.10";"todo";"0.14746381"
" 7";" 36";"19.44";"-2.02";"estar";"0.15495024"
"*";"*";"*";"*";"*";"*"
" 1";" 37";" 2.70";"-14.41";"*aut_04";"0.0001467771"
" 0";" 24";" 0.00";"-10.88";"*aut_120";"0.0009745989"
" 0";" 23";" 0.00";"-10.39";"*tit_136";"0.0012662061"
" 2";" 28";" 7.14";" -7.41";"*dia_15_01";"0.0064844859"
" 0";" 14";" 0.00";" -6.16";"*aut_43";"0.0130632462"
" 0";" 13";" 0.00";" -5.70";"*dia_01_01";"0.0169262806"
" 0";" 13";" 0.00";" -5.70";"*tit_60";"0.0169262806"
" 0";" 10";" 0.00";" -4.35";"*aut_03";"0.0370071057"
" 0";" 10";" 0.00";" -4.35";"*dia_22_03";"0.0370071057"
" 1";" 15";" 6.67";" -3.98";"*tit_54";"0.0459575699"
" 1";" 15";" 6.67";" -3.98";"*dia_19_01";"0.0459575699"
" 1";" 15";" 6.67";" -3.98";"*dia_30_01";"0.0459575699"
" 1";" 15";" 6.67";" -3.98";"*aut_01";"0.0459575699"
" 0";"  9";" 0.00";" -3.90";"*tit_71";"0.0481735191"
" 0";"  8";" 0.00";" -3.46";"*dia_07_01";"0.0628591128"
" 0";"  8";" 0.00";" -3.46";"*tit_55";"0.0628591128"
" 0";"  8";" 0.00";" -3.46";"*tit_67";"0.0628591128"
" 0";"  8";" 0.00";" -3.46";"*aut_57";"0.0628591128"
"63";"237";"26.58";" -3.27";"*jor_01";"0.0703820921"
" 0";"  7";" 0.00";" -3.02";"*tit_47";"0.0822850321"
" 0";"  7";" 0.00";" -3.02";"*dia_18_01";"0.0822850321"
" 0";"  7";" 0.00";" -3.02";"*dia_13_02";"0.0822850321"
" 0";"  7";" 0.00";" -3.02";"*tit_61";"0.0822850321"
" 0";"  6";" 0.00";" -2.58";"*aut_49";"0.1081834703"
" 0";"  6";" 0.00";" -2.58";"*aut_45";"0.1081834703"
" 0";"  6";" 0.00";" -2.58";"*aut_47";"0.1081834703"
" 0";"  6";" 0.00";" -2.58";"*tit_49";"0.1081834703"
" 0";"  6";" 0.00";" -2.58";"*tit_07";"0.1081834703"
" 0";"  6";" 0.00";" -2.58";"*aut_101";"0.1081834703"
" 0";"  6";" 0.00";" -2.58";"*aut_07";"0.1081834703"
" 0";"  5";" 0.00";" -2.14";"*dia_07_02";"0.1430902274"
" 0";"  5";" 0.00";" -2.14";"*dia_13_03";"0.1430902274"
" 0";"  5";" 0.00";" -2.14";"*dia_04_01";"0.1430902274"
" 0";"  5";" 0.00";" -2.14";"*aut_125";"0.1430902274"
" 0";"  5";" 0.00";" -2.14";"*tit_15";"0.1430902274"
" 0";"  5";" 0.00";" -2.14";"*tit_147";"0.1430902274"
"**";"classe";"2";"**";"";""
"****";"107";"360";"29.72";"****";""
" 9";"64";"14.06";"-9.14";"político";"0.002503304"
"10";"68";"14.71";"-9.05";"bolsonaro";"0.002626683"
" 0";"19";" 0.00";"-8.48";"mercado";"0.003584208"
" 1";"23";" 4.35";"-7.57";"lula";"0.005923498"
" 0";"14";" 0.00";"-6.16";"preço";"0.013063246"
" 2";"23";" 8.70";"-5.20";"público";"0.022581496"
" 1";"17";" 5.88";"-4.85";"maior";"0.027570310"
" 0";"11";" 0.00";"-4.80";"parte";"0.028479500"
" 0";"11";" 0.00";"-4.80";"sistema";"0.028479500"
" 0";"11";" 0.00";"-4.80";"defender";"0.028479500"
" 0";"11";" 0.00";"-4.80";"aumentar";"0.028479500"
" 2";"22";" 9.09";"-4.77";"social";"0.028877773"
" 2";"21";" 9.52";"-4.36";"novo";"0.036885445"
" 2";"21";" 9.52";"-4.36";"brasileiro";"0.036885445"
" 2";"20";"10.00";"-3.94";"econômico";"0.047056814"
" 0";" 9";" 0.00";"-3.90";"meio";"0.048173519"
" 0";" 9";" 0.00";"-3.90";"diferente";"0.048173519"
" 0";" 9";" 0.00";"-3.90";"saber";"0.048173519"
" 0";" 9";" 0.00";"-3.90";"global";"0.048173519"
" 1";"14";" 7.14";"-3.56";"fiscal";"0.059354893"
" 1";"14";" 7.14";"-3.56";"economia";"0.059354893"
" 0";" 8";" 0.00";"-3.46";"ministro";"0.062859113"
" 0";" 8";" 0.00";"-3.46";"sinal";"0.062859113"
" 0";" 8";" 0.00";"-3.46";"petrobras";"0.062859113"
" 0";" 8";" 0.00";"-3.46";"adotar";"0.062859113"
" 2";"18";"11.11";"-3.14";"só";"0.076304245"
" 0";" 7";" 0.00";"-3.02";"porcento";"0.082285032"
" 0";" 7";" 0.00";"-3.02";"reforma";"0.082285032"
" 0";" 7";" 0.00";"-3.02";"pior";"0.082285032"
" 0";" 7";" 0.00";"-3.02";"imprensa";"0.082285032"
" 0";" 7";" 0.00";"-3.02";"reduzir";"0.082285032"
" 0";" 7";" 0.00";"-3.02";"rede";"0.082285032"
" 0";" 7";" 0.00";"-3.02";"cair";"0.082285032"
" 1";"12";" 8.33";"-2.72";"liberal";"0.099170839"
" 0";" 6";" 0.00";"-2.58";"tentar";"0.108183470"
" 0";" 6";" 0.00";"-2.58";"paulo";"0.108183470"
" 0";" 6";" 0.00";"-2.58";"melhor";"0.108183470"
" 0";" 6";" 0.00";"-2.58";"motivo";"0.108183470"
" 0";" 6";" 0.00";"-2.58";"liberdade";"0.108183470"
" 0";" 6";" 0.00";"-2.58";"guedes";"0.108183470"
" 0";" 6";" 0.00";"-2.58";"turno";"0.108183470"
" 0";" 6";" 0.00";"-2.58";"tratar";"0.108183470"
" 0";" 6";" 0.00";"-2.58";"petróleo";"0.108183470"
" 0";" 6";" 0.00";"-2.58";"liberalismo";"0.108183470"
" 0";" 6";" 0.00";"-2.58";"investidor";"0.108183470"
" 0";" 6";" 0.00";"-2.58";"inimigo";"0.108183470"
" 0";" 6";" 0.00";"-2.58";"estatal";"0.108183470"
" 0";" 6";" 0.00";"-2.58";"establishment";"0.108183470"
" 0";" 6";" 0.00";"-2.58";"economista";"0.108183470"
" 0";" 6";" 0.00";"-2.58";"declínio";"0.108183470"
" 0";" 6";" 0.00";"-2.58";"confiança";"0.108183470"
" 2";"16";"12.50";"-2.38";"ficar";"0.123084649"
" 1";"11";" 9.09";"-2.31";"polarização";"0.128362783"
" 1";"11";" 9.09";"-2.31";"levar";"0.128362783"
" 0";" 5";" 0.00";"-2.14";"crise";"0.143090227"
" 0";" 5";" 0.00";"-2.14";"prazo";"0.143090227"
