"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"4";"***";"";""
"**";"classe";"1";"**";"";""
"****";"107";"360";"29.72";"****";""
"19";"19";"100.00";"47.43";"mercado";"5.705015e-12"
"41";"68";" 60.29";"37.51";"bolsonaro";"9.083711e-10"
"29";"43";" 67.44";"33.26";"presidente";"8.054414e-09"
"19";"23";" 82.61";"32.90";"lula";"9.704422e-09"
"13";"14";" 92.86";"27.80";"preço";"1.347505e-07"
"14";"17";" 82.35";"23.66";"maior";"1.148759e-06"
"12";"14";" 85.71";"21.86";"fiscal";"2.928388e-06"
" 8";" 8";"100.00";"19.35";"petrobras";"1.090592e-05"
" 7";" 7";"100.00";"16.88";"porcento";"3.982699e-05"
"19";"31";" 61.29";"16.18";"brasil";"5.750013e-05"
" 6";" 6";"100.00";"14.43";"paulo";"1.456695e-04"
" 6";" 6";"100.00";"14.43";"guedes";"1.456695e-04"
" 6";" 6";"100.00";"14.43";"turno";"1.456695e-04"
" 6";" 6";"100.00";"14.43";"investidor";"1.456695e-04"
" 6";" 6";"100.00";"14.43";"estatal";"1.456695e-04"
" 6";" 6";"100.00";"14.43";"economista";"1.456695e-04"
" 7";" 8";" 87.50";"13.08";"ministro";"2.991166e-04"
"13";"20";" 65.00";"12.62";"econômico";"3.822506e-04"
" 5";" 5";"100.00";"11.99";"prazo";"5.351714e-04"
" 5";" 5";"100.00";"11.99";"preocupação";"5.351714e-04"
" 5";" 5";"100.00";"11.99";"agenda";"5.351714e-04"
" 5";" 5";"100.00";"11.99";"ameaçar";"5.351714e-04"
" 6";" 7";" 85.71";"10.71";"pior";"1.062884e-03"
"13";"22";" 59.09";" 9.68";"dar";"1.867305e-03"
"13";"22";" 59.09";" 9.68";"risco";"1.867305e-03"
" 4";" 4";"100.00";" 9.56";"federal";"1.984072e-03"
" 4";" 4";"100.00";" 9.56";"reeleição";"1.984072e-03"
" 4";" 4";"100.00";" 9.56";"financeiro";"1.984072e-03"
" 4";" 4";"100.00";" 9.56";"centrão";"1.984072e-03"
" 4";" 4";"100.00";" 9.56";"proteger";"1.984072e-03"
" 4";" 4";"100.00";" 9.56";"óleo";"1.984072e-03"
" 4";" 4";"100.00";" 9.56";"temor";"1.984072e-03"
" 4";" 4";"100.00";" 9.56";"prático";"1.984072e-03"
" 4";" 4";"100.00";" 9.56";"perda";"1.984072e-03"
" 4";" 4";"100.00";" 9.56";"guinar";"1.984072e-03"
" 4";" 4";"100.00";" 9.56";"governar";"1.984072e-03"
" 4";" 4";"100.00";" 9.56";"diesel";"1.984072e-03"
" 4";" 4";"100.00";" 9.56";"combustível";"1.984072e-03"
" 4";" 4";"100.00";" 9.56";"caminhoneiro";"1.984072e-03"
" 4";" 4";"100.00";" 9.56";"bolsa";"1.984072e-03"
" 4";" 4";"100.00";" 9.56";"base";"1.984072e-03"
"11";"18";" 61.11";" 8.94";"só";"2.794207e-03"
" 5";" 6";" 83.33";" 8.40";"melhor";"3.760941e-03"
" 5";" 6";" 83.33";" 8.40";"petróleo";"3.760941e-03"
" 5";" 6";" 83.33";" 8.40";"busca";"3.760941e-03"
" 6";" 8";" 75.00";" 8.03";"sinal";"4.600640e-03"
" 6";" 8";" 75.00";" 8.03";"banco";"4.600640e-03"
" 7";"10";" 70.00";" 7.99";"atual";"4.707496e-03"
" 3";" 3";"100.00";" 7.15";"rcifrão";"7.483591e-03"
" 3";" 3";"100.00";" 7.15";"vacinação";"7.483591e-03"
" 3";" 3";"100.00";" 7.15";"presidência";"7.483591e-03"
" 3";" 3";"100.00";" 7.15";"imposto";"7.483591e-03"
" 3";" 3";"100.00";" 7.15";"surto";"7.483591e-03"
" 3";" 3";"100.00";" 7.15";"programa";"7.483591e-03"
" 3";" 3";"100.00";" 7.15";"mobius";"7.483591e-03"
" 3";" 3";"100.00";" 7.15";"investimento";"7.483591e-03"
" 3";" 3";"100.00";" 7.15";"intervencionismo";"7.483591e-03"
" 3";" 3";"100.00";" 7.15";"gasto";"7.483591e-03"
" 3";" 3";"100.00";" 7.15";"escalada";"7.483591e-03"
" 3";" 3";"100.00";" 7.15";"compromisso";"7.483591e-03"
" 3";" 3";"100.00";" 7.15";"subir";"7.483591e-03"
" 3";" 3";"100.00";" 7.15";"menor";"7.483591e-03"
" 3";" 3";"100.00";" 7.15";"fóssil";"7.483591e-03"
" 3";" 3";"100.00";" 7.15";"assustar";"7.483591e-03"
" 3";" 3";"100.00";" 7.15";"ameaça";"7.483591e-03"
"11";"20";" 55.00";" 6.48";"vez";"1.092259e-02"
" 7";"11";" 63.64";" 6.25";"parte";"1.243426e-02"
" 7";"11";" 63.64";" 6.25";"aumentar";"1.243426e-02"
" 4";" 5";" 80.00";" 6.14";"crise";"1.324443e-02"
" 4";" 5";" 80.00";" 6.14";"decisão";"1.324443e-02"
" 4";" 5";" 80.00";" 6.14";"erro";"1.324443e-02"
" 4";" 5";" 80.00";" 6.14";"trazer";"1.324443e-02"
" 5";" 7";" 71.43";" 5.94";"reforma";"1.476150e-02"
" 4";" 6";" 66.67";" 3.99";"crescimento";"4.585183e-02"
" 3";" 4";" 75.00";" 3.97";"curto";"4.631956e-02"
" 3";" 4";" 75.00";" 3.97";"enfrentar";"4.631956e-02"
" 3";" 4";" 75.00";" 3.97";"dólar";"4.631956e-02"
" 3";" 4";" 75.00";" 3.97";"cenário";"4.631956e-02"
" 3";" 4";" 75.00";" 3.97";"tesouro";"4.631956e-02"
" 3";" 4";" 75.00";" 3.97";"temer";"4.631956e-02"
" 3";" 4";" 75.00";" 3.97";"reação";"4.631956e-02"
" 3";" 4";" 75.00";" 3.97";"proteção";"4.631956e-02"
" 3";" 4";" 75.00";" 3.97";"dilma";"4.631956e-02"
"10";"21";" 47.62";" 3.42";"brasileiro";"6.442678e-02"
" 6";"11";" 54.55";" 3.35";"defender";"6.731771e-02"
" 5";" 9";" 55.56";" 2.95";"voltar";"8.592179e-02"
" 5";" 9";" 55.56";" 2.95";"eleitoral";"8.592179e-02"
" 5";" 9";" 55.56";" 2.95";"passado";"8.592179e-02"
" 7";"14";" 50.00";" 2.87";"economia";"9.038798e-02"
" 7";"14";" 50.00";" 2.87";"afirmar";"9.038798e-02"
" 4";" 7";" 57.14";" 2.57";"reduzir";"1.089287e-01"
" 4";" 7";" 57.14";" 2.57";"cair";"1.089287e-01"
" 3";" 5";" 60.00";" 2.23";"proposta";"1.357644e-01"
" 3";" 5";" 60.00";" 2.23";"mudar";"1.357644e-01"
" 3";" 5";" 60.00";" 2.23";"efeito";"1.357644e-01"
" 3";" 5";" 60.00";" 2.23";"gerar";"1.357644e-01"
" 3";" 5";" 60.00";" 2.23";"ex_presidente";"1.357644e-01"
" 3";" 5";" 60.00";" 2.23";"negativo";"1.357644e-01"
" 3";" 5";" 60.00";" 2.23";"modo";"1.357644e-01"
" 7";"15";" 46.67";" 2.15";"grande";"1.424359e-01"
" 7";"15";" 46.67";" 2.15";"jair";"1.424359e-01"
" 7";"15";" 46.67";" 2.15";"caso";"1.424359e-01"
" 5";"10";" 50.00";" 2.02";"saúde";"1.547523e-01"
"*****";"*";"*";"*";"*";"*"
"10";" 16";"62.50";"8.61";"segundo";"0.003338836"
" 6";"  8";"75.00";"8.03";"menos";"0.004600640"
" 7";" 10";"70.00";"7.99";"cada";"0.004707496"
"29";" 66";"43.94";"7.82";"ir";"0.005166117"
" 7";" 11";"63.64";"6.25";"quem";"0.012434261"
"40";"107";"37.38";"4.28";"por";"0.038610645"
" 5";"  8";"62.50";"4.21";"além";"0.040225978"
"95";"297";"31.99";"4.17";"o";"0.041249712"
" 4";"  6";"66.67";"3.99";"nosso";"0.045851826"
" 4";"  6";"66.67";"3.99";"este";"0.045851826"
" 3";"  4";"75.00";"3.97";"aqui";"0.046319558"
" 3";"  4";"75.00";"3.97";"ambos";"0.046319558"
" 3";"  4";"75.00";"3.97";"9";"0.046319558"
" 3";"  4";"75.00";"3.97";"5";"0.046319558"
"19";" 45";"42.22";"3.85";"seu";"0.049834263"
"10";" 22";"45.45";"2.78";"ainda";"0.095658062"
" 8";" 17";"47.06";"2.57";"agora";"0.109089994"
" 6";" 12";"50.00";"2.44";"hoje";"0.117998438"
"16";" 40";"40.00";"2.28";"fazer";"0.131417264"
"10";" 23";"43.48";"2.23";"já";"0.135721541"
" 3";"  5";"60.00";"2.23";"fim";"0.135764356"
"*";"*";"*";"*";"*";"*"
"17";" 20";" 85.00";"30.98";"*aut_103";"2.609501e-08"
"13";" 15";" 86.67";"24.30";"*dia_08_03";"8.250658e-07"
" 9";" 10";" 90.00";"17.89";"*dia_11_03";"2.338487e-05"
" 9";" 10";" 90.00";"17.89";"*dia_23_02";"2.338487e-05"
"15";" 24";" 62.50";"13.23";"*dia_22_02";"2.760670e-04"
" 6";"  7";" 85.71";"10.71";"*aut_23";"1.062884e-03"
" 6";"  7";" 85.71";"10.71";"*tit_25";"1.062884e-03"
" 4";"  4";"100.00";" 9.56";"*tit_36";"1.984072e-03"
" 4";"  4";"100.00";" 9.56";"*tit_111";"1.984072e-03"
" 4";"  4";"100.00";" 9.56";"*aut_109";"1.984072e-03"
" 4";"  4";"100.00";" 9.56";"*aut_16";"1.984072e-03"
" 4";"  4";"100.00";" 9.56";"*aut_13";"1.984072e-03"
" 4";"  4";"100.00";" 9.56";"*dia_14_03";"1.984072e-03"
" 4";"  4";"100.00";" 9.56";"*aut_33";"1.984072e-03"
" 4";"  4";"100.00";" 9.56";"*tit_18";"1.984072e-03"
" 4";"  4";"100.00";" 9.56";"*tit_14";"1.984072e-03"
" 4";"  4";"100.00";" 9.56";"*tit_103";"1.984072e-03"
" 4";"  4";"100.00";" 9.56";"*tit_107";"1.984072e-03"
" 6";"  8";" 75.00";" 8.03";"*dia_09_03";"4.600640e-03"
" 3";"  3";"100.00";" 7.15";"*tit_38";"7.483591e-03"
" 3";"  3";"100.00";" 7.15";"*aut_41";"7.483591e-03"
" 3";"  3";"100.00";" 7.15";"*dia_19_02";"7.483591e-03"
" 3";"  3";"100.00";" 7.15";"*tit_45";"7.483591e-03"
" 3";"  3";"100.00";" 7.15";"*tit_113";"7.483591e-03"
" 3";"  3";"100.00";" 7.15";"*dia_25_02";"7.483591e-03"
" 3";"  3";"100.00";" 7.15";"*aut_116";"7.483591e-03"
" 3";"  3";"100.00";" 7.15";"*aut_35";"7.483591e-03"
" 3";"  3";"100.00";" 7.15";"*dia_21_02";"7.483591e-03"
" 4";"  5";" 80.00";" 6.14";"*aut_21";"1.324443e-02"
" 4";"  5";" 80.00";" 6.14";"*tit_23";"1.324443e-02"
" 2";"  2";"100.00";" 4.76";"*tit_129";"2.920666e-02"
" 2";"  2";"100.00";" 4.76";"*tit_121";"2.920666e-02"
" 2";"  2";"100.00";" 4.76";"*tit_05";"2.920666e-02"
" 2";"  2";"100.00";" 4.76";"*tit_114";"2.920666e-02"
" 2";"  2";"100.00";" 4.76";"*aut_102";"2.920666e-02"
" 2";"  2";"100.00";" 4.76";"*aut_14";"2.920666e-02"
" 2";"  2";"100.00";" 4.76";"*aut_18";"2.920666e-02"
" 2";"  2";"100.00";" 4.76";"*dia_24_03";"2.920666e-02"
" 2";"  2";"100.00";" 4.76";"*aut_05";"2.920666e-02"
" 2";"  2";"100.00";" 4.76";"*tit_16";"2.920666e-02"
" 2";"  2";"100.00";" 4.76";"*aut_22";"2.920666e-02"
" 2";"  2";"100.00";" 4.76";"*tit_102";"2.920666e-02"
" 2";"  2";"100.00";" 4.76";"*tit_24";"2.920666e-02"
" 2";"  2";"100.00";" 4.76";"*tit_20";"2.920666e-02"
" 3";"  4";" 75.00";" 3.97";"*aut_17";"4.631956e-02"
" 3";"  4";" 75.00";" 3.97";"*tit_19";"4.631956e-02"
"44";"123";" 35.77";" 3.27";"*jor_02";"7.038209e-02"
" 4";"  7";" 57.14";" 2.57";"*aut_108";"1.089287e-01"
" 1";"  1";"100.00";" 2.37";"*tit_43";"1.236021e-01"
" 1";"  1";"100.00";" 2.37";"*tit_42";"1.236021e-01"
" 1";"  1";"100.00";" 2.37";"*tit_123";"1.236021e-01"
" 1";"  1";"100.00";" 2.37";"*tit_120";"1.236021e-01"
" 1";"  1";"100.00";" 2.37";"*aut_38";"1.236021e-01"
" 1";"  1";"100.00";" 2.37";"*tit_65";"1.236021e-01"
" 1";"  1";"100.00";" 2.37";"*tit_22";"1.236021e-01"
" 1";"  1";"100.00";" 2.37";"*dia_22_01";"1.236021e-01"
" 1";"  1";"100.00";" 2.37";"*aut_39";"1.236021e-01"
" 1";"  1";"100.00";" 2.37";"*aut_20";"1.236021e-01"
" 1";"  1";"100.00";" 2.37";"*aut_55";"1.236021e-01"
" 1";"  1";"100.00";" 2.37";"*tit_140";"1.236021e-01"
" 3";"  5";" 60.00";" 2.23";"*dia_15_03";"1.357644e-01"
" 3";"  5";" 60.00";" 2.23";"*aut_12";"1.357644e-01"
" 3";"  5";" 60.00";" 2.23";"*tit_13";"1.357644e-01"
"**";"classe";"2";"**";"";""
"****";"107";"360";"29.72";"****";""
"25";"38";" 65.79";"26.46";"trump";"2.693306e-07"
