"";"classe 1";"classe 2";"classe 3";"classe 4"
"populismo";0,891;0,891;0,034;0,012
"populista";0,003;0;0,221;0,216
"político";0,003;0,003;0;0,095
"bolsonaro";0;0,003;0,222;0,008
"direito";0;0,001;0,043;0,021
"governo";0,413;0,629;0,55;0,323
"presidente";0;0,179;0;0,243
"política";0,006;0,912;0,001;0,697
"trump";0;0;0,897;0,154
"brasil";0;0,186;0,049;0,287
"partido";0,04;0,011;0,502;0,113
"país";0,016;0,002;0,853;0,22
"democracia";0;0,038;0,128;0,945
"ver";0,493;0,313;0,422;0,124
"pandemia";0,583;0,387;0,089;0,061
"eleição";0,267;0,152;0,008;0,002
"lula";0;0,006;0,098;0,061
"fiscal";0;0,059;0,076;0,149
"novo";0,01;0,037;0;0,074
"mesmo";0,185;0,147;0,551;0,523
"líder";0;0;0,28;0,041
"ano";0,824;0,222;0,018;0,067
"dar";0,002;0,795;0,011;0,618
"mundo";0,013;0,595;0,083;0,728
"estado";0,138;0,595;0,064;0
"vez";0,011;0,328;0,181;0,728
"só";0,003;0,076;0,101;0,583
"social";0,029;0,029;0;0,868
"público";0,583;0,023;0,008;0,222
"forma";0,123;0,672;0,002;0,122
"econômico";0;0,047;0,409;0,297
"risco";0,002;0,824;0,041;0,067
"precisar";0,739;0,739;0,161;0,327
"brasileiro";0,064;0,037;0,291;0,269
"mercado";0;0,004;0,005;0,09
"instituição";0,028;0,264;0,217;0,004
"autoritário";0,097;0,264;0,019;0,511
"vir";0,29;0,29;0,126;0,398
"parecer";0,172;0,856;0,381;0,656
"maior";0;0,028;0,008;0,925
"economia";0,09;0,059;0,017;0
"dever";0,097;0,264;0,004;0,925
"sociedade";0,008;0,326;0,781;0
"nacional";0,028;0;0,459;0,203
"grande";0,142;0,156;0,478;0,37
"afirmar";0,09;0,489;0,965;0,149
"lei";0,984;0,034;0,197;0,225
"jair";0,142;0,791;0,903;0,135
"ficar";0,486;0,123;0,39;1
"donald";0,036;0,069;0,39;0,439
"democrático";0,013;0,09;0,515;0,837
"último";0,395;0,624;0,192;0,203
"vacina";0,063;0,626;0,162;1
"republicano";0,01;0,041;0,293;0,485
"querer";0,791;0,001;0,013;0,485
"preço";0;0,013;0,017;0,536
"eua";0,017;0,011;0,824;0,593
"caso";0,142;0,142;0,013;0,485
"unido";0,022;0,314;0,372;0
"projeto";0,357;0,027;0,028;0,183
"polarização";0,857;0,128;0,047;0,728
"perder";0,617;0,09;0,242;0,149
"passar";0,395;0,067;0,035;0,132
"parte";0,012;0,028;0,953;0,728
"meio";0,216;0,048;0,268;0,003
"medida";0,984;0,155;0,565;0,225
"liberal";0,716;0,099;0,018;0,657
"discurso";0,593;0,483;0,395;0,165
"dia";0,357;0,118;0,122;0,183
"deixar";0,923;0,022;0,017;0,837
"bem";0,593;0,593;0,139;0,593
"americano";0,013;0,09;0,242;0,007
"século";0,495;0,495;0,023;0,225
"saúde";0,155;0,495;0,89;0,225
"principal";0,495;0,495;0,023;0,225
"possível";0,593;0,249;0,035;0,593
"porcento";0;0,082;0,095;0,313
"momento";0,483;0,249;0,824;0,749
"fato";0,128;0;0,035;0,203
"crise";0,013;0,143;0,16;0,61
"chegar";0,128;0;0,155;0,203
"apoio";0,328;0,328;0,252;0,251
"violência";0,028;0,067;0,459;0,132
"sistema";0,028;0,028;0,008;0,015
"relação";0,984;0,495;0,117;0,225
"reforma";0,015;0,082;0,976;0,313
"levar";0,128;0,128;0,155;0
"importante";0,216;0,216;0,252;0
"diferente";0,048;0,048;0;0,898
"conseguir";0,166;0,155;0,394;0,225
"congresso";0,216;0,086;0,058;0,056
"tentar";0,48;0,108;0,123;0
"saber";0,618;0,048;0,009;0,898
"movimento";0,028;0,857;0,192;0,132
"mostrar";0,328;0,618;0,058;0,056
"ministro";0;0,063;0,074;1
"itália";0,037;0,155;0,565;0,09
"história";0,495;0,984;0,89;0,467
"grupo";0,281;0,281;0,322;0
"global";0,216;0,048;0,001;0,898
"federal";0,002;0,191;0,209;0,447
"europa";0,028;0,246;0,533;0,563
"espaço";0,216;0,618;0,009;0,251
"derrota";0,082;0,001;0,413;0,313
"defender";0,067;0,028;0,192;0,203
"coisa";0,128;0,002;0,459;0,203
"aumentar";0,012;0,028;0,155;0,132
"atual";0,005;0,166;0,565;0,225
"acreditar";0,624;0,246;0,155;0,728
"voltar";0,086;0,81;0,252;0,251
"reeleição";0,002;0,191;0,209;0,447
"problema";0,984;0,166;0,565;0,008
"paulo";0;0,108;0,123;0,35
"força";0,367;0,109;0,976;0,313
"esquerdo";0,048;0,618;0,001;0,251
"empresa";0,281;0,768;0,074;0
"eleitoral";0,086;0,216;0,693;0,898
"considerar";0,984;0,166;0,394;0,467
"chamar";0,166;0,495;0,003;0,225
"candidato";0,367;0,946;0,379;0,885
"usar";0,632;0,613;0,549;0,395
"termo";0,108;0,48;0,034;0,756
"sinal";0,005;0,063;0,322;1
"setor";0,946;0,367;0,976;0,194
