de;105;104;98;42
a;80;91;72;37
o;95;83;81;38
em;78;87;72;38
que;71;64;58;33
ser;58;44;50;29
para;36;36;35;9
um;35;43;33;14
por;40;23;32;12
com;32;32;24;11
não;22;36;29;16
uma;34;22;35;8
se;24;34;32;14
como;18;25;30;14
ter;28;20;20;10
mais;23;19;16;13
ir;29;17;16;4
ele;12;18;17;8
ao;16;16;14;10
poder;11;17;13;4
fazer;16;14;7;3
estar;7;8;17;4
muito;8;6;14;10
seu;19;8;13;5
sua;7;13;10;9
haver;11;11;14;4
dizer;14;9;6;8
outro;4;13;9;6
esse;7;9;9;6
todo;4;7;7;6
entre;4;5;13;1
ainda;10;3;5;4
também;6;11;7;3
sobre;9;8;5;2
já;10;10;2;1
isso;6;8;3;5
contra;1;5;3;5
quando;2;8;6;3
essa;3;11;3;2
agora;8;2;6;1
até;7;4;4;2
segundo;10;3;3;0
dois;4;8;3;0
povo;1;6;2;0
algum;5;4;4;2
qual;4;2;3;1
depois;4;6;3;1
sempre;2;8;3;0
porque;5;3;2;2
qualquer;3;6;2;1
hoje;6;1;4;1
ela;1;6;1;4
tanto;4;2;3;2
sem;3;1;6;1
quem;7;2;1;1
nada;0;6;2;1
assim;1;5;1;1
além;5;2;0;1
valor;3;2;1;0
antes;2;3;3;1
você;1;2;3;2
tudo;1;3;2;3
primeiro;3;5;2;0
cada;7;0;1;2
tão;2;4;0;0
menos;6;0;2;0
alguma;1;6;1;1
2022;4;3;1;1
tipo;1;1;4;1
nós;1;0;3;4
eu;2;1;3;0
desde;2;2;2;0
apesar;3;3;0;0
talvez;1;2;2;1
nosso;4;0;1;1
me;2;3;0;1
lhe;1;1;3;1
entanto;0;7;0;0
cujo;3;2;1;0
caminho;2;0;4;1
bilhão;2;0;1;0
apenas;3;1;2;1
tempo;0;4;1;1
quase;2;1;1;1
muita;1;1;2;0
fim;3;0;0;2
este;4;0;1;1
então;2;1;2;0
aqui;3;0;1;0
nunca;1;1;3;0
21;1;0;4;0
2016;0;0;5;0
20;0;1;4;0
vário;1;2;0;1
quanto;1;0;2;1
principalmente;0;2;1;1
pouco;1;2;0;0
ninguém;0;1;2;0
nenhum;2;1;0;0
mal;1;3;0;0
maioria;0;1;1;1
inclusive;1;2;0;1
esta;1;2;1;0
diante;2;0;0;1
bastante;1;2;0;1
aí;1;0;3;0
ambos;3;0;1;0
algo;1;0;1;2
9;3;0;1;0
5;3;1;0;0
2020;1;0;2;0
2019;0;2;1;0
2018;2;1;0;0
1;2;0;1;0
trás;0;2;1;0
simplesmente;0;1;1;1
sim;0;1;0;2
si;2;0;0;1
recentemente;0;0;3;0
quão;0;1;0;2
lhes;1;2;0;0
justamente;1;1;1;0
eventualmente;0;3;0;0
especialmente;0;1;2;0
cinco;0;0;3;0
