"";"x"
"1";3
"2";0
"3";2
"4";1
"5";1
"6";2
"7";2
"8";3
"9";0
"10";3
"11";1
"12";1
"13";0
"14";3
"15";1
"16";1
"17";0
"18";3
"19";1
"20";0
"21";0
"22";4
"23";1
"24";1
"25";1
"26";1
"27";3
"28";4
"29";1
"30";4
"31";1
"32";0
"33";2
"34";0
"35";1
"36";1
"37";3
"38";3
"39";0
"40";3
"41";0
"42";0
"43";3
"44";4
"45";2
"46";1
"47";0
"48";3
"49";4
"50";2
"51";0
"52";1
"53";0
"54";3
"55";3
"56";3
"57";3
"58";0
"59";1
"60";1
"61";1
"62";0
"63";1
"64";3
"65";4
"66";3
"67";3
"68";0
"69";1
"70";1
"71";2
"72";0
"73";2
"74";3
"75";2
"76";4
"77";3
"78";3
"79";2
"80";2
"81";3
"82";4
"83";2
"84";0
"85";0
"86";3
"87";2
"88";3
"89";2
"90";2
"91";3
"92";3
"93";3
"94";1
"95";1
"96";1
"97";0
"98";3
"99";1
"100";2
"101";2
"102";3
"103";2
"104";0
"105";1
"106";3
"107";2
"108";2
"109";1
"110";1
"111";1
"112";3
"113";4
"114";4
"115";4
"116";3
"117";3
"118";1
"119";1
"120";2
"121";2
"122";2
"123";2
"124";2
"125";2
"126";3
"127";2
"128";2
"129";4
"130";2
"131";0
"132";0
"133";4
"134";1
"135";1
"136";1
"137";0
"138";1
"139";3
"140";2
"141";1
"142";0
"143";0
"144";0
"145";3
"146";3
"147";1
"148";1
"149";1
"150";1
"151";3
"152";2
"153";1
"154";3
"155";0
"156";0
"157";1
"158";1
"159";3
"160";0
"161";4
"162";4
"163";4
"164";0
"165";1
"166";1
"167";0
"168";2
"169";1
"170";0
"171";3
"172";2
"173";4
"174";4
"175";1
"176";0
"177";4
"178";0
"179";0
"180";1
"181";3
"182";4
"183";2
"184";2
"185";1
"186";1
"187";2
"188";2
"189";0
"190";3
"191";2
"192";2
"193";3
"194";3
"195";1
"196";0
"197";1
"198";1
"199";2
"200";0
"201";3
"202";3
"203";2
"204";1
"205";3
"206";0
"207";1
"208";2
"209";2
"210";2
"211";2
"212";3
"213";1
"214";2
"215";3
"216";2
"217";4
"218";2
"219";2
"220";0
"221";3
"222";3
"223";1
"224";2
"225";3
"226";1
"227";2
"228";0
"229";2
"230";3
"231";4
"232";2
"233";3
"234";1
"235";1
"236";1
"237";3
"238";3
"239";1
"240";3
"241";4
"242";0
"243";2
"244";3
"245";3
"246";1
"247";1
"248";0
"249";0
"250";1
"251";2
"252";0
"253";0
"254";3
"255";3
"256";1
"257";1
"258";1
"259";0
"260";1
"261";2
"262";0
"263";1
"264";0
"265";3
"266";4
"267";2
"268";3
"269";1
"270";3
"271";4
"272";1
"273";0
"274";1
"275";1
"276";1
"277";3
"278";3
"279";3
"280";2
"281";3
"282";0
"283";0
"284";0
"285";2
"286";0
"287";3
"288";0
"289";3
"290";2
"291";2
"292";4
"293";2
"294";4
"295";1
"296";1
"297";1
"298";2
"299";0
"300";2
"301";1
"302";1
"303";3
"304";1
"305";1
"306";1
"307";1
"308";1
"309";0
"310";2
"311";2
"312";3
"313";2
"314";1
"315";0
"316";2
"317";2
"318";4
"319";3
"320";0
"321";3
"322";2
"323";0
"324";0
"325";1
"326";1
"327";1
"328";1
"329";2
"330";1
"331";0
"332";2
"333";4
"334";3
"335";2
"336";1
"337";3
"338";1
"339";1
"340";1
"341";2
"342";0
"343";0
"344";0
"345";3
"346";3
"347";2
"348";0
"349";2
"350";4
"351";2
"352";2
"353";2
"354";3
"355";3
"356";4
"357";0
"358";0
"359";4
"360";2
"361";3
"362";2
"363";1
"364";4
"365";3
"366";3
"367";4
"368";4
"369";2
"370";3
"371";0
"372";3
"373";1
"374";1
"375";4
"376";4
"377";2
"378";4
"379";0
"380";0
"381";1
"382";1
"383";2
"384";2
"385";2
"386";3
"387";3
"388";3
"389";1
"390";1
"391";2
"392";2
"393";3
"394";3
"395";3
"396";3
"397";2
"398";2
"399";4
"400";2
"401";3
"402";4
"403";2
"404";0
"405";0
"406";0
"407";2
"408";3
"409";3
"410";3
"411";2
"412";2
"413";3
"414";1
"415";1
"416";4
"417";3
"418";4
"419";0
"420";2
"421";2
"422";2
"423";2
"424";0
"425";0
"426";4
"427";2
"428";3
"429";1
"430";2
"431";2
"432";2
"433";2
"434";2
"435";4
"436";2
"437";2
"438";4
"439";3
